rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/kl_divergence_loss,train/std,train/is_line_search_success,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/policy_objective
127923.68441253001,14.9,1062,532480,500,65,0.006660217419266701,0.6760938763618469,1.0,0.0,5803609636.8,64,0.001,0.038921792060136795
131505.3,15.05,1080,540672,500,66,0.009292746894061565,0.671119749546051,1.0,0.0,6084314866.4,65,0.001,0.030925221741199493
131802.91973649,15.06,1097,548864,499,67,0.006262124050408602,0.6681032180786133,1.0,-1.1920928955078125e-07,5984171228.0,66,0.001,0.028419842943549156
131301.79751973,14.89,1115,557056,499,68,0.0063893357291817665,0.6645010113716125,1.0,0.0,6013507980.0,67,0.001,0.02824532613158226
131822.52862725,14.8,1133,565248,498,69,0.008940973319113255,0.661648154258728,1.0,2.384185791015625e-07,6184754726.4,68,0.001,0.03786877542734146
132334.5290526,14.61,1150,573440,498,70,0.009601054713129997,0.6585896611213684,1.0,0.0,6255439463.2,69,0.001,0.03522380813956261
129981.41175280999,14.33,1168,581632,497,71,0.0063835084438323975,0.656882107257843,1.0,0.0,6157135746.4,70,0.001,0.024198556318879128
132541.83160399002,14.46,1185,589824,497,72,0.009817133657634258,0.6526129245758057,1.0,-1.1920928955078125e-07,6307688409.6,71,0.001,0.02394583821296692
131210.78456418,14.16,1203,598016,497,73,0.009333798661828041,0.6499394178390503,1.0,5.960464477539063e-08,6291329848.0,72,0.001,0.03222919628024101
132936.72850174,14.57,1220,606208,496,74,0.006307365372776985,0.6481568217277527,1.0,-1.1920928955078125e-07,6397128672.8,73,0.001,0.02662936970591545
130143.76485799,13.94,1237,614400,496,75,0.009557398967444897,0.6463278532028198,1.0,0.0,6338449576.8,74,0.001,0.03411731868982315
132556.10841793,13.89,1254,622592,496,76,0.009013330563902855,0.6449146270751953,1.0,5.960464477539063e-08,6405169547.2,75,0.001,0.03330712765455246
122878.7,15.07,1272,630784,495,77,0.006654275581240654,0.6420347094535828,1.0,0.0,6290637938.4,76,0.001,0.0341934859752655
132853.56021239,13.86,1289,638976,495,78,0.009523076005280018,0.6399953961372375,1.0,0.0,6473915473.6,77,0.001,0.03694763034582138
132348.2,13.83,1305,647168,495,79,0.00944395363330841,0.6394834518432617,1.0,0.0,6454193898.4,78,0.001,0.0336918979883194
132864.25843428998,13.76,1323,655360,495,80,0.009533709846436977,0.6380856037139893,1.0,5.960464477539063e-08,6415069707.2,79,0.001,0.033922307193279266
131554.37565453,13.52,1340,663552,495,81,0.009342094883322716,0.6355471611022949,1.0,0.0,6571699356.0,80,0.001,0.031597837805747986
132559.6,13.66,1357,671744,494,82,0.009245923720300198,0.6338651776313782,1.0,5.960464477539063e-08,6573291405.6,81,0.001,0.03259801119565964
132861.4,13.57,1373,679936,494,83,0.009305802173912525,0.6311065554618835,1.0,0.0,6524463051.2,82,0.001,0.031244736164808273
133256.3,13.53,1390,688128,494,84,0.008904635906219482,0.6305665969848633,1.0,1.1920928955078125e-07,6641754645.6,83,0.001,0.029774021357297897
132880.88086946998,13.27,1407,696320,494,85,0.009506666101515293,0.6297093629837036,1.0,0.0,6639794127.2,84,0.001,0.03334096819162369
133276.37270507,13.42,1423,704512,494,86,0.007214600685983896,0.6269572377204895,1.0,5.960464477539063e-08,6668529560.0,85,0.001,0.025609785690903664
128595.38975534,12.95,1440,712704,494,87,0.006548347417265177,0.6235472559928894,1.0,-1.1920928955078125e-07,6743157260.0,86,0.001,0.028378713876008987
132164.39565202,13.32,1456,720896,494,88,0.008706976659595966,0.6221312284469604,1.0,0.0,6785954893.6,87,0.001,0.026093952357769012
133183.79286136,13.12,1473,729088,494,89,0.00886803399771452,0.6196287274360657,1.0,-2.384185791015625e-07,6645947108.0,88,0.001,0.028966132551431656
132596.2,12.59,1489,737280,495,90,0.007860983721911907,0.6180432438850403,1.0,-1.1920928955078125e-07,6828807481.6,89,0.001,0.03175017237663269
132994.09463647,13.08,1505,745472,495,91,0.00669592572376132,0.616327166557312,1.0,5.960464477539063e-08,6814728216.8,90,0.001,0.0247988011687994
132377.37363886,13.27,1521,753664,495,92,0.009100792929530144,0.6156952381134033,1.0,0.0,6817693704.8,91,0.001,0.024055439978837967
133291.7,12.8,1537,761856,495,93,0.00636825617402792,0.6151589155197144,1.0,0.0,6782841380.0,92,0.001,0.029427263885736465
132989.3653304,12.87,1553,770048,495,94,0.009987969882786274,0.6138425469398499,1.0,0.0,6852215004.0,93,0.001,0.030668077990412712
133393.65695295,13.0,1569,778240,495,95,0.009396402165293694,0.6117517352104187,1.0,0.0,6802242165.6,94,0.001,0.033501267433166504
133607.3368234,12.63,1586,786432,495,96,0.008115766569972038,0.6119359731674194,1.0,0.0,6781988025.6,95,0.001,0.024955319240689278
133405.11317371,12.71,1603,794624,495,97,0.009966806508600712,0.6088299751281738,1.0,1.1920928955078125e-07,6740896586.4,96,0.001,0.023353802040219307
129035.10692722998,12.7,1619,802816,495,98,0.008964735083281994,0.6069015264511108,1.0,1.7881393432617188e-07,6828591192.0,97,0.001,0.02949804998934269
133096.90197615,12.71,1636,811008,495,99,0.009034358896315098,0.6053442358970642,1.0,0.0,6778464755.2,98,0.001,0.03145190328359604
133294.75773809,12.86,1653,819200,495,100,0.009034835733473301,0.6033857464790344,1.0,0.0,6835455559.2,99,0.001,0.03222942724823952
133391.99650472,12.85,1670,827392,495,101,0.008955848403275013,0.6021639108657837,1.0,0.0,6817932906.4,100,0.001,0.03284984454512596
133605.2,12.62,1687,835584,495,102,0.009364460594952106,0.6013218760490417,1.0,0.0,6839355656.8,101,0.001,0.030988793820142746
133197.26672309,12.76,1703,843776,495,103,0.008261854760348797,0.598301351070404,1.0,0.0,6918827384.8,102,0.001,0.03189542144536972
133402.5,12.65,1720,851968,495,104,0.006594770587980747,0.5971881747245789,1.0,1.1920928955078125e-07,6788276624.8,103,0.001,0.026002848520874977
133294.57318045,12.67,1737,860160,495,105,0.006353435572236776,0.5967245697975159,1.0,0.0,6870959549.6,104,0.001,0.023742161691188812
132599.08611683,12.58,1755,868352,494,106,0.009722909890115261,0.5938150882720947,1.0,0.0,6883292600.8,105,0.001,0.03031204454600811
131256.74066906,12.53,1771,876544,494,107,0.008592098951339722,0.5928419232368469,1.0,5.960464477539063e-08,6919006973.6,106,0.001,0.02429261803627014
133206.7,12.54,1788,884736,494,108,0.009461530484259129,0.5911621451377869,1.0,0.0,6839369736.0,107,0.001,0.03069263882935047
133407.14027786,12.37,1805,892928,494,109,0.009344343096017838,0.5905144214630127,1.0,0.0,6902766774.4,108,0.001,0.02850130945444107
133610.29716991,12.56,1823,901120,494,110,0.006651588715612888,0.5902532935142517,1.0,0.0,6978693627.2,109,0.001,0.02121390402317047
133195.58026067,12.61,1840,909312,494,111,0.009865343570709229,0.5904370546340942,1.0,-1.1920928955078125e-07,6873133228.8,110,0.001,0.029926642775535583
133504.88038983,12.51,1858,917504,493,112,0.0067247250117361546,0.5888933539390564,1.0,1.7881393432617188e-07,6836997062.4,111,0.001,0.026573533192276955
133313.9,12.39,1875,925696,493,113,0.00931485928595066,0.588047981262207,1.0,-1.1920928955078125e-07,6988938896.8,112,0.001,0.02399471029639244
133501.46098696,12.53,1893,933888,493,114,0.006039327476173639,0.586963951587677,1.0,-1.1920928955078125e-07,6911131904.0,113,0.001,0.019934792071580887
133308.5,12.48,1910,942080,493,115,0.009456285275518894,0.5855088233947754,1.0,-1.1920928955078125e-07,6751660072.0,114,0.001,0.03442511707544327
133497.3482666,12.73,1927,950272,493,116,0.008725885301828384,0.5845033526420593,1.0,0.0,6966845852.0,115,0.001,0.02320590615272522
133514.72286878002,12.38,1945,958464,492,117,0.006874887738376856,0.5835734605789185,1.0,0.0,6843330736.0,116,0.001,0.023969117552042007
133614.8,12.3,1962,966656,492,118,0.009699559770524502,0.5838373899459839,1.0,-1.1920928955078125e-07,6868424958.4,117,0.001,0.024960165843367577
133415.43750798,12.36,1980,974848,492,119,0.0067015476524829865,0.5835909247398376,1.0,0.0,6970493149.6,118,0.001,0.023244719952344894
133113.65319636,12.33,1997,983040,492,120,0.00807261187583208,0.5823700428009033,1.0,0.0,6930646575.2,119,0.001,0.02646496891975403
133112.1,12.21,2017,991232,491,121,0.006612608674913645,0.5820187330245972,1.0,0.0,6915722515.2,120,0.001,0.030686821788549423
133311.08516739,12.32,2035,999424,490,122,0.009658369235694408,0.581152081489563,1.0,0.0,6923206229.6,121,0.001,0.026813600212335587
133325.9,12.14,2053,1007616,490,123,0.009555662050843239,0.5800314545631409,1.0,5.960464477539063e-08,6866844701.6,122,0.001,0.02711852267384529
