train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/critic_loss,train/actor_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.001,9653,0.06490197777748108,1.4567012786865234,184,460.44,259,297,77328,13110.435546875,-482.8065185546875,-4737.670280339999,,
0.001,9885,0.01084053423255682,1.4382747411727905,188,461.15,265,298,79184,129741.078125,-505.43243408203125,-4055.99687733,,
0.001,9987,-0.004593968391418457,1.4349167346954346,189,463.54,267,298,80000,19781.25390625,-294.90167236328125,-4009.67630939,,
,,,,,,,,80000,,,,-2416.737063,267.0
0.001,10228,0.28882336616516113,1.4071996212005615,192,448.84,275,297,81928,123065.953125,-492.31109619140625,-3692.2226867999993,,
0.001,10344,0.04972529783844948,1.3723119497299194,196,451.66,278,297,82856,9241.7109375,-510.9136047363281,-3672.72867695,,
0.001,10804,-0.19668832421302795,1.36933171749115,200,465.92,289,299,86536,16020.1416015625,-529.5863037109375,-4056.27460182,,
0.001,11024,-0.04143095761537552,1.3822723627090454,204,470.25,294,299,88296,10051.2275390625,-469.7560119628906,-3961.7089309099997,,
0.001,11237,-0.07548457384109497,1.3898422718048096,206,486.45,300,299,90000,20495.078125,-648.7919921875,-3946.9608133599995,,
,,,,,,,,90000,,,,-1958.2006936000002,426.4
0.001,11382,0.28064414858818054,1.389821171760559,208,492.41,307,296,91160,9614.806640625,-603.62890625,-3844.1186082899994,,
0.001,11676,0.23044145107269287,1.3326736688613892,212,504.26,314,297,93512,15064.4306640625,-680.5330810546875,-3746.5912695799993,,
0.001,12024,-0.06999287009239197,1.3762091398239136,216,525.39,322,298,96296,17125.859375,-743.2120361328125,-3649.9324365099997,,
0.001,12423,-0.11738549172878265,1.3633396625518799,220,533.12,332,299,99488,13986.14453125,-713.6775512695312,-3486.9574324600003,,
0.001,12487,0.14712440967559814,1.3652490377426147,222,530.02,333,299,100000,14222.5732421875,-777.129150390625,-3433.06521778,,
,,,,,,,,100000,,,,-1335.6450462,323.2
0.001,12602,0.15124516189098358,1.3521299362182617,224,544.61,339,297,100920,21117.45703125,-745.7188110351562,-3373.57593972,,
0.001,13186,-0.02220504730939865,1.355478048324585,228,559.47,353,298,105592,20428.28515625,-836.94677734375,-3849.30174321,,
0.001,13471,0.13798898458480835,1.3256744146347046,232,589.04,360,299,107872,12731.4580078125,-745.4799194335938,-4182.68684721,,
0.001,13737,0.15075308084487915,1.3590086698532104,235,605.05,367,299,110000,109984.1015625,-910.3912963867188,-3947.8829712300003,,
,,,,,,,,110000,,,,-1802.7630022,917.8
0.001,13744,0.12584234774112701,1.3557915687561035,236,604.27,373,294,110056,11295.146484375,-893.2822265625,-3947.03989507,,
0.001,14186,-0.05388282984495163,1.358728051185608,240,612.27,384,295,113592,15002.05078125,-810.8883056640625,-3751.03180387,,
0.001,14471,0.12163902074098587,1.3433068990707397,244,620.66,391,295,115872,8648.599609375,-834.9697265625,-2957.288469120001,,
0.001,14731,-0.018929213285446167,1.3078937530517578,248,615.86,398,296,117952,21886.68359375,-756.3131713867188,-2613.79733115,,
0.001,14987,-0.041698627173900604,1.343529224395752,249,609.35,404,296,120000,144301.125,-954.5084228515625,-2513.5804206400003,,
,,,,,,,,120000,,,,-1821.059075,698.4
0.001,15160,-0.06484834849834442,1.3245717287063599,252,607.31,414,292,121384,170195.328125,-827.48095703125,-2492.89350861,,
0.001,15226,-0.12221872806549072,1.323868989944458,256,590.85,416,292,121912,125768.1953125,-974.50244140625,-2434.3020311300006,,
0.001,15488,-0.35779595375061035,1.3752063512802124,260,607.07,422,293,124008,15805.5107421875,-1011.7320556640625,-2190.4131603,,
0.001,15731,0.10649930685758591,1.413413643836975,264,610.31,428,294,125952,87920.765625,-926.77392578125,-2066.6438750800003,,
0.001,16226,0.3228333592414856,1.4069249629974365,268,612.26,440,295,129912,13237.994140625,-868.5103759765625,-2188.2608301600003,,
0.001,16237,0.1260889172554016,1.40452241897583,268,612.26,440,295,130000,16144.697265625,-837.8544311523438,-2188.2608301600003,,
,,,,,,,,130000,,,,-2426.7479294000004,253.4
0.001,16707,0.04867005720734596,1.2478554248809814,272,623.03,454,294,133760,10673.923828125,-746.8427124023438,-2050.9487006199997,,
0.001,16915,-0.0057051219046115875,1.2668222188949585,276,626.13,459,294,135424,74110.28125,-875.803955078125,-2137.8837717,,
0.001,17487,-0.1850418597459793,1.2447539567947388,279,620.39,472,296,140000,15980.1435546875,-808.6397705078125,-1944.8334736499996,,
,,,,,,,,140000,,,,601.6670266000001,1000.0
0.001,17545,0.15569722652435303,1.2662088871002197,280,625.46,482,290,140464,10515.330078125,-885.11767578125,-2060.62470329,,
0.001,17823,0.09096875041723251,1.1730419397354126,284,644.81,490,290,142688,252626.6875,-801.21875,-2407.31521307,,
0.001,17979,-0.014650026336312294,1.1656113862991333,288,650.97,493,291,143936,17684.974609375,-799.8756713867188,-2305.9871114,,
0.001,18063,0.031830448657274246,1.1731865406036377,292,637.7,495,291,144608,19182.7265625,-764.701171875,-2474.11459381,,
0.001,18545,0.02628117799758911,1.127826452255249,296,645.96,506,292,148464,11060.390625,-775.1888427734375,-2341.15905642,,
0.001,18737,-0.06631968915462494,1.1682828664779663,298,644.44,511,293,150000,16847.1875,-836.8123779296875,-2073.78725238,,
,,,,,,,,150000,,,,-4438.3634972,287.4
0.001,18757,-0.09356948733329773,1.1762789487838745,300,640.02,514,292,150160,136738.46875,-862.5966796875,-1758.61847701,,
0.001,19072,0.03522452339529991,1.1247320175170898,304,653.78,521,292,152680,10851.763671875,-836.4658203125,-1707.24879768,,
0.001,19541,0.022118572145700455,1.0757033824920654,308,649.27,533,293,156432,17230.921875,-870.6730346679688,-1621.09477633,,
0.001,19855,-0.03336503729224205,1.1118042469024658,312,654.84,540,294,158944,7526.9091796875,-828.5951538085938,-1586.4688984400002,,
0.001,19979,0.013506460934877396,1.1021648645401,316,639.53,543,294,159936,10954.017578125,-883.5243530273438,-1677.6782692200002,,
0.001,19987,0.0032883714884519577,1.1013007164001465,316,639.53,543,294,160000,13009.2158203125,-874.6541748046875,-1677.6782692200002,,
,,,,,,,,160000,,,,-514.2561082,590.2
0.001,20094,-0.015001517720520496,1.0766748189926147,320,633.09,550,292,160856,10848.923828125,-827.797607421875,-2279.4739941100006,,
0.001,20610,-0.13562911748886108,1.304745078086853,324,637.57,563,292,164984,13380.673828125,-891.226318359375,-2308.46370612,,
0.001,20888,0.16105030477046967,1.2926067113876343,328,626.99,570,293,167208,15424.8427734375,-985.2298583984375,-2098.70299453,,
0.001,21105,0.044253334403038025,1.2350293397903442,332,618.79,575,293,168944,10201.5419921875,-862.091064453125,-1651.1013484699997,,
0.001,21237,-0.042035818099975586,1.2177926301956177,332,618.79,578,294,170000,267005.25,-855.0471801757812,-1651.1013484699997,,
,,,,,,,,170000,,,,-21249.290642599997,870.0
0.001,21357,-0.03735915198922157,1.1993803977966309,336,614.54,587,291,170960,11061.3857421875,-826.38916015625,-1504.7956160200001,,
0.001,21398,-0.10541894286870956,1.2084803581237793,340,610.78,588,291,171288,90606.25,-819.7166137695312,-1677.4891258500002,,
0.001,21630,0.083533376455307,1.248921513557434,344,583.16,594,291,173144,12808.388671875,-992.4371948242188,-1648.7099882500002,,
0.001,21775,0.10491018742322922,1.1738641262054443,348,566.26,597,291,174304,153901.09375,-1024.2078857421875,-2358.1882617200004,,
0.001,22261,-0.03493213653564453,1.0950322151184082,352,567.39,609,292,178192,214096.09375,-811.083251953125,-2677.5312657900004,,
0.001,22487,-0.04833962023258209,1.172972559928894,354,576.93,614,292,180000,10148.3017578125,-719.58203125,-2593.9149400899996,,
,,,,,,,,180000,,,,634.64924,847.4
0.001,22630,0.1057707816362381,1.1764498949050903,356,596.41,625,289,181144,10780.658203125,-760.859619140625,-2508.62247397,,
0.001,23071,0.08153249323368073,1.1494898796081543,360,593.03,636,290,184672,82151.109375,-804.57763671875,-2715.74484735,,
0.001,23299,0.026366466656327248,1.0904488563537598,364,598.04,642,290,186496,11455.42578125,-790.27734375,-2728.87085945,,
0.001,23718,0.03431141376495361,1.144193172454834,368,598.44,652,291,189848,15603.4453125,-791.7584228515625,-2744.6900328200004,,
0.001,23737,0.06787919998168945,1.1362552642822266,368,598.44,652,291,190000,8634.9296875,-836.1581420898438,-2744.6900328200004,,
,,,,,,,,190000,,,,-4444.080720399999,615.2
0.001,24299,-0.00032091018510982394,0.9888971447944641,372,602.97,670,289,194496,35251.28515625,-792.0785522460938,-2394.38321105,,
0.001,24418,-0.0012173298746347427,1.0039275884628296,376,604.81,673,290,195448,12477.009765625,-627.9754638671875,-2349.32885959,,
0.001,24646,0.004657709039747715,1.052135705947876,380,591.53,678,290,197272,7404.16552734375,-886.0704345703125,-2331.5869010199995,,
0.001,24987,0.01696915552020073,1.075843095779419,381,591.53,686,291,200000,10209.94140625,-790.4916381835938,-2236.0538532499995,,
,,,,,,,,200000,,,,-11300.552656200001,1000.0
0.001,25260,0.0004480774514377117,1.0035778284072876,384,580.53,701,288,202184,16954.484375,-793.1636962890625,-1897.9754801299996,,
0.001,25547,0.0018273082096129656,1.012789249420166,388,599.62,708,288,204480,15918.3935546875,-907.747314453125,-1703.33533213,,
0.001,26103,-0.004727569408714771,1.049869179725647,392,621.68,721,289,208928,7554.833984375,-819.1982421875,-1306.19637299,,
0.001,26237,-0.0006713367765769362,1.0200620889663696,395,623.93,724,289,210000,119215.5390625,-866.4213256835938,-1254.9997657999998,,
,,,,,,,,210000,,,,-6495.5847662,1000.0
0.001,26260,-0.0009390031918883324,1.0190188884735107,396,623.93,732,286,210184,7396.65478515625,-906.573486328125,-1317.2856795,,
0.001,27051,0.023893222212791443,1.1312296390533447,400,642.51,751,287,216512,13192.7197265625,-902.170654296875,-1157.9721568,,
0.001,27211,0.005828533787280321,1.14753258228302,404,650.47,755,288,217792,8841.033203125,-954.8301391601562,-1224.72139383,,
0.001,27487,0.01959005370736122,1.0566737651824951,407,645.86,762,288,220000,12339.2685546875,-855.85498046875,-1255.8205759700004,,
,,,,,,,,220000,,,,-21752.686868999997,1000.0
0.001,27597,-0.044093579053878784,1.0489134788513184,408,645.86,772,285,220880,11187.5771484375,-904.643310546875,-1266.6059446200004,,
0.001,28211,0.009847266599535942,1.1169531345367432,412,659.59,787,286,225792,7125.9072265625,-938.3082885742188,-1241.6130664100006,,
0.001,28290,0.0588608980178833,1.1133737564086914,416,673.07,788,287,226424,15760.9365234375,-902.1478271484375,-1195.4822209700005,,
0.001,28737,-0.023182407021522522,1.069273591041565,418,680.09,799,287,230000,8660.1064453125,-883.9976806640625,-663.5556157100001,,
,,,,,,,,230000,,,,-3973.1217816,725.4
0.001,28896,0.048722706735134125,1.1111942529678345,420,680.18,808,285,231272,5170.701171875,-878.9443969726562,-905.2332995800002,,
0.001,29274,0.020559299737215042,1.0318576097488403,424,693.1,817,286,234296,6182.99755859375,-798.5653076171875,-873.7248762300001,,
0.001,29597,0.0012607956305146217,1.006266713142395,428,702.12,825,286,236880,16908.3515625,-874.162109375,-445.6874141100001,,
0.001,29987,0.011458344757556915,0.8983202576637268,431,693.42,834,287,240000,7298.3271484375,-842.9187622070312,-346.7149070400001,,
,,,,,,,,240000,,,,-2725.0699023999996,720.0
0.001,30051,0.040533967316150665,0.8905160427093506,432,697.82,841,285,240512,12274.6796875,-916.8255615234375,-380.89926910000014,,
0.001,30409,-0.002721040742471814,0.9657189846038818,436,718.86,850,286,243376,7623.3955078125,-801.40478515625,-338.6957348800001,,
0.001,30896,-0.005396855995059013,1.0098621845245361,440,731.96,861,286,247272,6014.740234375,-929.5052490234375,-222.35844008,,
0.001,31237,-0.004458701238036156,0.9222460389137268,443,748.03,869,287,250000,19636.71484375,-948.7713623046875,-86.40252948000003,,
,,,,,,,,250000,,,,-463.212236,816.8
0.001,31238,,0.9222460389137268,444,755.71,875,285,250008,6930.11865234375,,-39.981268430000036,,
0.001,31742,-0.027363616973161697,0.9283128976821899,448,785.92,888,285,254040,61315.234375,-981.8787231445312,672.76590329,,
0.001,32238,0.010853017680346966,0.9386254549026489,452,807.92,900,286,258008,13225.888671875,-962.4703369140625,1215.31061158,,
0.001,32487,-4.554633051156998e-05,0.9760330319404602,453,807.92,905,287,260000,12253.2978515625,-937.7921752929688,1098.91835708,,
,,,,,,,,260000,,,,-4003.2137338,841.8
0.001,32717,-0.0033434624783694744,0.9921987056732178,456,798.51,917,285,261840,111486.34375,-1041.6484375,1102.09790783,,
0.001,33079,-0.0009501045569777489,0.8990674614906311,460,809.53,924,286,264736,10951.5654296875,-915.84375,1403.19192355,,
0.001,33702,0.013439266011118889,0.8547366857528687,464,811.51,939,287,269720,12758.16015625,-981.2486572265625,1510.3952430400002,,
0.001,33737,-0.028088606894016266,0.8531783223152161,465,816.08,939,287,270000,176148.6875,-936.1033935546875,1606.6577147,,
,,,,,,,,270000,,,,-2332.1207765999998,1000.0
0.001,33854,-0.02530536614358425,0.8538813591003418,468,807.31,950,285,270936,15186.4990234375,-969.18994140625,1663.3221563800005,,
0.001,34080,-0.06483766436576843,0.8663821816444397,472,791.21,955,285,272744,8624.890625,-971.9854736328125,1522.8546783499999,,
0.001,34487,-0.023513659834861755,0.8341100215911865,476,787.04,965,285,276000,13801.23828125,-1048.9554443359375,1738.7711733599997,,
0.001,34987,-0.03863568976521492,0.9066314697265625,479,808.51,976,286,280000,14943.0654296875,-999.1964111328125,1789.4935875800002,,
,,,,,,,,280000,,,,-12043.350659799999,928.0
0.001,35051,-0.06894887983798981,0.8889256119728088,480,814.13,984,284,280512,9143.69140625,-1031.835205078125,1802.62828676,,
0.001,35160,-0.014745887368917465,0.8634549379348755,484,815.6,987,284,281384,11916.505859375,-1005.2073364257812,1599.8374018900001,,
0.001,35686,0.014738941565155983,0.8432030081748962,488,799.15,1000,285,285592,11637.552734375,-1089.34228515625,1584.8940974799998,,
0.001,35945,0.07432429492473602,0.8749966621398926,492,799.61,1006,285,287664,9702.51171875,-978.8673706054688,1406.5251292000003,,
0.001,36237,0.04093574732542038,0.8993836045265198,495,809.26,1013,286,290000,6174.087890625,-970.355224609375,1444.57372629,,
,,,,,,,,290000,,,,-3311.229166799999,1000.0
0.001,36433,0.05938398838043213,0.912108838558197,496,804.93,1025,284,291568,5824.8212890625,-1021.4207763671875,1403.54486791,,
0.001,36903,-0.06823361665010452,0.884779155254364,500,806.47,1037,284,295328,140511.015625,-812.7120361328125,1392.51747053,,
0.001,37160,-0.004494303837418556,0.8399068713188171,504,797.49,1043,284,297384,4875.4423828125,-958.5291748046875,1332.4093147999997,,
0.001,37487,0.04308508336544037,0.8147068023681641,507,798.14,1051,285,300000,116413.484375,-968.673095703125,1244.30993645,,
,,,,,,,,300000,,,,17.838736399999654,942.8
0.001,37613,0.09018655121326447,0.8404077291488647,508,794.43,1061,283,301008,86849.75,-870.9385986328125,1320.31623638,,
0.001,37903,0.017819751054048538,0.9585247039794922,512,787.64,1068,283,303328,10856.830078125,-1027.97265625,1287.3426801199998,,
0.001,38204,-0.0069788130931556225,0.9872504472732544,516,782.78,1076,284,305736,5055.25390625,-899.1995849609375,1119.0090909099997,,
0.001,38410,-0.022039178758859634,0.860471248626709,520,779.48,1081,284,307384,11545.197265625,-894.9077758789062,833.5368893400002,,
0.001,38504,-0.028280459344387054,0.842625617980957,524,742.11,1083,284,308136,144146.3125,-980.849853515625,736.4082778600001,,
0.001,38737,0.006313555408269167,0.893501341342926,527,731.47,1089,284,310000,16288.50390625,-976.923095703125,677.1564794499999,,
,,,,,,,,310000,,,,-10119.0047964,1000.0
0.001,38832,0.05167611688375473,0.9090219736099243,528,731.47,1098,282,310760,7389.4560546875,-919.33984375,666.4650734499999,,
0.001,39192,0.011444313451647758,1.0432134866714478,532,730.96,1108,283,313640,8225.7734375,-971.7428588867188,143.14534559999984,,
0.001,39517,0.0011460557579994202,0.9800831079483032,536,730.96,1116,283,316240,5748.4443359375,-920.56787109375,150.35082036000006,,
0.001,39987,-0.03040163405239582,0.8968290686607361,538,730.96,1127,283,320000,5289.90478515625,-863.50634765625,211.00897965000007,,
,,,,,,,,320000,,,,-2145.655478,608.6
0.001,40192,-0.09724488854408264,0.8533945083618164,540,737.63,1136,282,321640,5065.5107421875,-830.8692626953125,322.91115055000006,,
0.001,40310,0.006076391786336899,0.842114269733429,544,734.29,1139,283,322584,10198.2587890625,-827.0819702148438,380.21844348999997,,
0.001,40838,-0.009394275024533272,0.9053561687469482,548,723.78,1152,283,326808,163861.34375,-860.0911865234375,489.30963826000004,,
0.001,41237,0.0008834206964820623,0.9956365823745728,549,723.78,1162,283,330000,6888.7900390625,-871.99560546875,453.20213144,,
,,,,,,,,330000,,,,-4216.8765666,1000.0
0.001,41310,-7.411417027469724e-05,1.001516580581665,552,723.78,1171,282,330584,4456.03125,-796.78564453125,418.7297565500001,,
0.001,41838,-0.05531216785311699,0.9032348394393921,556,733.19,1184,282,334808,14186.462890625,-845.2034912109375,585.83920011,,
0.001,42261,0.001656901091337204,0.8302364349365234,560,723.35,1196,282,338192,5117.1396484375,-822.061767578125,428.47452864999985,,
0.001,42487,0.06402433663606644,0.8510310649871826,562,732.91,1201,283,340000,11530.8388671875,-881.7991333007812,457.7748582799999,,
,,,,,,,,340000,,,,-3054.4452134,804.0
0.001,42603,0.001670720987021923,0.8839783668518066,564,730.56,1209,281,340928,15034.3740234375,-857.7789916992188,405.3512053599998,,
0.001,43134,-0.020004339516162872,0.7357516288757324,568,730.73,1222,282,345176,4161.21875,-788.7349853515625,50.24798912999988,,
0.001,43428,0.08194528520107269,0.7952965497970581,572,739.77,1230,282,347528,4862.9873046875,-890.1272583007812,163.2156658199999,,
0.001,43679,-0.06907093524932861,0.8259467482566833,576,744.6,1237,282,349536,9270.8662109375,-906.1361083984375,165.97855186999993,,
0.001,43737,-0.09331822395324707,0.8133816123008728,576,744.6,1238,282,350000,14472.0234375,-907.8297119140625,165.97855186999993,,
,,,,,,,,350000,,,,-1677.4899814,409.0
0.001,44310,0.14448203146457672,0.790917694568634,580,741.51,1254,282,354584,27198.775390625,-930.2554931640625,362.3273081399999,,
0.001,44679,-0.11605468392372131,0.8052838444709778,584,751.36,1264,282,357536,4549.6796875,-822.6505126953125,664.7994609499999,,
0.001,44987,-0.13711664080619812,0.7576162815093994,587,747.5,1272,282,360000,5147.20068359375,-820.2818603515625,-397.3712202700002,,
,,,,,,,,360000,,,,-21087.1343592,906.6
0.001,45118,0.05108598247170448,0.7479979395866394,588,756.23,1282,281,361048,3131.778076171875,-879.146240234375,-230.88716366000006,,
0.001,45294,-0.11425276100635529,0.752334713935852,592,742.31,1286,281,362456,3668.340087890625,-1027.04296875,-208.9785332500001,,
0.001,45373,-0.03298484906554222,0.743844747543335,596,722.79,1288,281,363088,135723.546875,-972.1746826171875,-331.66391306000014,,
0.001,45711,-0.021177656948566437,0.7282381653785706,600,709.81,1296,282,365792,4126.7333984375,-866.5768432617188,-428.63115845000016,,
0.001,45984,0.030960947275161743,0.7280436158180237,604,691.29,1303,282,367976,11756.7734375,-1002.2548217773438,-376.61646553000014,,
