time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/approx_kl
43,260.58,704512,3763,-99951.52083334001,187,-12.376926201209425,0.086370849609375,0.2,0.0011,467946560.0,420,422111402.9578125,1.9303557872772217,-0.0005206914616792347,-0.003773212432861328,0.00871592
44,238.21,720896,3851,-99828.70972222001,187,-12.515175404399633,0.13087158203125,0.2,0.0011,191116896.0,430,377926527.6546875,1.97490394115448,0.002734549303204403,-0.0009349584579467773,0.01039032
45,240.19,737280,3939,-100138.9875,187,-12.6304939545691,0.071087646484375,0.2,0.0011,160091456.0,440,450982620.6078125,2.0132017135620117,-0.000190045921044657,-9.417533874511719e-06,0.0076342877
46,183.86,753664,4027,-100195.9375,187,-12.777543437480926,0.20491943359375,0.2,0.0011,504386816.0,450,407440479.984375,2.065220355987549,0.00966167313108599,-1.1920928955078125e-07,0.024732245
47,195.32,770048,4115,-99608.875,187,-12.900548014417291,0.045550537109375,0.2,0.0011,280829120.0,460,572048547.190625,2.1082723140716553,-0.0023247891547725887,0.0,0.006054539
48,199.4,786432,4203,-100217.34925214,187,-13.011231257021427,0.06016845703125,0.2,0.0011,308559360.0,470,504676956.665625,2.1447858810424805,-0.002126759990278515,-0.00012886524200439453,0.006589258
49,218.62,802816,4291,-100542.11944444,187,-13.103316785395146,0.060595703125,0.2,0.0011,186040928.0,480,508286256.009375,2.1760706901550293,-0.0014068034988667932,0.0,0.0077884453
50,190.53,819200,4380,-99651.40694444001,187,-13.187793054804207,0.174652099609375,0.2,0.0011,445452288.0,490,452054496.9109375,2.2097437381744385,0.006557085513668426,0.0,0.024288725
51,215.89,835584,4468,-100055.925,186,-13.308973500132561,0.061090087890625,0.2,0.0011,354088608.0,500,518740331.4,2.2563016414642334,-0.0021475057015777565,5.960464477539063e-08,0.009209234
52,221.29,851968,4556,-99316.175,186,-13.445898682996631,0.067474365234375,0.2,0.0011,294865152.0,510,485977581.628125,2.3089964389801025,-0.0012945649563334883,0.0,0.007815554
53,227.5,868352,4644,-99462.0725,186,-13.574605153128505,0.10576171875,0.2,0.0011,286151968.0,520,425185113.6875,2.3588013648986816,0.0002061844401396229,0.0,0.008038297
54,245.24,884736,4732,-100200.05166667,186,-13.689266094192863,0.105865478515625,0.2,0.0011,252507952.0,530,424339390.9015625,2.4028728008270264,0.001323574554953666,0.0,0.011195293
55,238.93,901120,4820,-99499.3375,186,-13.800217606127262,0.080084228515625,0.2,0.0011,306704512.0,540,433971610.359375,2.455151081085205,0.0012273317559447605,-1.1920928955078125e-07,0.009761779
56,106.44,917504,4908,-100336.55,186,-13.931979409605265,0.439129638671875,0.2,0.0011,193277264.0,550,383601057.55546874,2.5039517879486084,0.037608189130696704,0.0,0.031158742
57,132.55,933888,4996,-99782.45,186,-13.995839878171683,0.06240234375,0.2,0.0011,813646400.0,560,876571944.70625,2.521878719329834,-0.0025996769711127852,0.0,0.0058375746
58,141.41,950272,5084,-99177.19861111,186,-14.065830333530903,0.04207763671875,0.2,0.0011,663836032.0,570,737886278.6875,2.5591957569122314,-0.0023266433134267574,-1.1920928955078125e-07,0.0048928577
59,183.33,966656,5172,-98854.275,186,-14.156394207105041,0.0259521484375,0.2,0.0011,269481600.0,580,648295071.91875,2.599594831466675,-0.0005524004611288547,-1.1920928955078125e-07,0.0036035792
60,179.81,983040,5259,-98587.38027778,186,-14.277129989862441,0.04169921875,0.2,0.0011,611734208.0,590,536917432.178125,2.651559829711914,-0.0014311976123281057,-1.1920928955078125e-07,0.0064384444
61,188.04,999424,5347,-98642.65277777001,186,-14.396134253591299,0.0737548828125,0.2,0.0011,269836512.0,600,530426886.75625,2.7038724422454834,-0.0024264474468509434,0.0,0.008948026
62,181.87,1015808,5433,-99768.23944444001,186,-14.490080298110843,0.044073486328125,0.2,0.0011,408473600.0,610,505462031.425,2.745816230773926,-0.0009699101821752266,-1.1920928955078125e-07,0.0050931647
63,184.13,1032192,5519,-99067.625,186,-14.592404271662236,0.048785400390625,0.2,0.0011,188208544.0,620,511123442.66875,2.800896167755127,-0.0008863871449648286,0.0,0.005602336
64,194.5,1048576,5605,-99752.475,187,-14.709590135142207,0.0601318359375,0.2,0.0011,147447376.0,630,506492518.8734375,2.8585615158081055,-0.0010411048500827747,-1.1920928955078125e-07,0.006948109
65,201.3,1064960,5690,-99312.12777778,187,-14.841482392698527,0.0590576171875,0.2,0.0011,127014472.0,640,454363562.8953125,2.9179306030273438,0.00081631847533572,0.0,0.0064620315
66,213.46,1081344,5776,-99847.875,187,-14.974484972655773,0.077392578125,0.2,0.0011,230659824.0,650,453113243.35,2.993053913116455,0.0003338577915201313,0.0,0.008062973
67,200.5,1097728,5861,-98294.02916666999,187,-15.090502008795738,0.103778076171875,0.2,0.0011,122933680.0,660,430345791.046875,3.044881820678711,0.0026986354452674275,0.0,0.009381427
68,167.64,1114112,5947,-100123.61666667,187,-15.210481339320541,0.151556396484375,0.2,0.0011,190475056.0,670,450369389.3765625,3.1065211296081543,0.008316714586908348,-1.1920928955078125e-07,0.019234434
69,162.83,1130496,6032,-99949.93472222,187,-15.311257301270961,0.0336181640625,0.2,0.0011,422386144.0,680,559068139.06875,3.1593337059020996,-0.0009704845402666251,0.0,0.005023363
70,179.98,1146880,6117,-100059.4375,187,-15.423175882548094,0.04342041015625,0.2,0.0011,406538208.0,690,566082392.559375,3.218606948852539,-0.001124114080266736,0.0,0.0054467833
71,175.67,1163264,6203,-99709.0775,187,-15.55182704180479,0.08740234375,0.2,0.0011,369826592.0,700,465610055.540625,3.291594982147217,0.0003928170877770754,5.960464477539063e-08,0.006933868
72,177.85,1179648,6289,-99400.68611111,187,-15.671236196905374,0.057684326171875,0.2,0.0011,340784032.0,710,520642960.390625,3.360804557800293,-0.0006729603866915568,0.0,0.0069055734
73,201.54,1196032,6374,-99622.53194444001,187,-15.786174899712204,0.063330078125,0.2,0.0011,218021488.0,720,502876360.978125,3.418095111846924,0.000322940403202665,0.0,0.0074601853
74,163.71,1212416,6460,-99491.575,187,-15.88805387020111,0.188983154296875,0.2,0.0011,238748704.0,730,429318933.1234375,3.4807262420654297,0.010032124113058672,0.0,0.026921457
75,154.64,1228800,6545,-99597.95277777001,187,-15.995743500068784,0.0384765625,0.2,0.0011,279275744.0,740,521411878.53125,3.5506210327148438,-0.0008028294709220063,0.0,0.004940584
76,165.22,1245184,6631,-98980.95694444001,187,-16.10628296881914,0.03577880859375,0.2,0.0011,252736336.0,750,580841127.825,3.6135482788085938,-0.0015996808537238395,0.0,0.004713877
77,172.5,1261568,6717,-99888.0,187,-16.242564880102872,0.045684814453125,0.2,0.0011,269684736.0,760,517745479.240625,3.7052173614501953,-0.0005194283810851629,0.0,0.0060221883
78,128.52,1277952,6802,-99956.95,187,-16.371863082051277,0.083941650390625,0.2,0.0011,191087712.0,770,511062478.4984375,3.802877426147461,0.00031840913670748704,5.960464477539063e-08,0.0122104585
