rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/is_line_search_success,train/policy_objective,train/kl_divergence_loss,train/n_updates,train/explained_variance,train/std,train/value_loss,train/learning_rate
-92330.8620671,14,114688,530,216,290.8,1.0,0.018208814784884453,0.004213993903249502,13,-1.1920928955078125e-07,0.9718050956726074,270360598.3921875,0.001
-90329.50373376999,15,122880,530,231,313.03,1.0,0.023075439035892487,0.004224780946969986,14,0.0,0.9688687324523926,251567688.625,0.001
-88840.10873377002,16,131072,530,246,355.86,1.0,0.02303978055715561,0.003760330844670534,15,-1.1920928955078125e-07,0.9759132266044617,222113205.175,0.001
-88257.72859335999,17,139264,530,262,347.67,1.0,0.026060719043016434,0.004915231838822365,16,1.7881393432617188e-07,0.9766190052032471,177925022.565625,0.001
-88684.58935093001,18,147456,531,277,343.9,1.0,0.018071183934807777,0.0033452375791966915,17,-1.1920928955078125e-07,0.9682507514953613,293861076.3625,0.001
-88408.63268426001,19,155648,530,293,345.76,1.0,0.027439646422863007,0.004534900188446045,18,5.960464477539063e-08,0.9634051322937012,279386220.8,0.001
-91302.30058413999,20,163840,530,308,314.07,1.0,0.024333393201231956,0.003850651439279318,19,0.0,0.9501225352287292,240592130.73125,0.001
-92128.75251026,21,172032,529,324,323.51,1.0,0.012936688028275967,0.003598190611228347,20,0.0,0.95278000831604,248097084.64375,0.001
-92652.23016178001,22,180224,528,340,330.94,1.0,0.02178023010492325,0.004789987113326788,21,0.0,0.9463836550712585,277221371.090625,0.001
-89576.87480465001,23,188416,528,356,354.79,1.0,0.027437429875135422,0.004233517684042454,22,0.0,0.9374463558197021,234051538.76875,0.001
-89448.13115079999,24,196608,528,371,376.22,1.0,0.022529739886522293,0.006046460475772619,23,-1.1920928955078125e-07,0.9408459663391113,159174019.0546875,0.001
-89554.57575398,25,204800,528,387,396.43,1.0,0.018406281247735023,0.004885001108050346,24,0.0,0.9269227981567383,176993144.078125,0.001
-90352.64714287,26,212992,527,404,406.16,1.0,0.025036737322807312,0.004263917449861765,25,1.7881393432617188e-07,0.9283444285392761,208592464.01875,0.001
-91718.76214287,27,221184,526,420,410.82,1.0,0.017914794385433197,0.0044182101264595985,26,0.0,0.9279084205627441,236211852.56875,0.001
-94512.65888889,28,229376,526,435,398.18,1.0,0.02550468221306801,0.005212911870330572,27,0.0,0.9111911654472351,204116657.484375,0.001
-93701.06388889,29,237568,525,451,398.69,1.0,0.020906083285808563,0.005271763540804386,28,0.0,0.9122278094291687,218105506.321875,0.001
-92317.65079365,30,245760,525,467,423.23,1.0,0.020918434485793114,0.005173530429601669,29,0.0,0.9164543151855469,135554254.60078126,0.001
-91828.01960316999,31,253952,524,483,441.35,1.0,0.02056078240275383,0.003977279178798199,30,0.0,0.9096409678459167,154634504.7175781,0.001
-89487.02293651,32,262144,524,499,462.51,1.0,0.02615511417388916,0.005326808895915747,31,0.0,0.9116945266723633,173705317.753125,0.001
-89215.29793651002,33,270336,524,515,466.08,1.0,0.02063768357038498,0.0050930785946547985,32,0.0,0.9074435234069824,175290149.78359374,0.001
-88796.14154762,34,278528,523,531,479.73,1.0,0.02334722876548767,0.004202106036245823,33,-1.1920928955078125e-07,0.9070155024528503,135106962.1109375,0.001
-88960.71654762,35,286720,523,547,481.81,1.0,0.01694352924823761,0.004174221307039261,34,0.0,0.9124983549118042,195140332.446875,0.001
-89004.68353896,36,294912,523,563,481.72,1.0,0.02124892920255661,0.005432782229036093,35,0.0,0.9068707227706909,113710891.97539063,0.001
-88585.35139610998,37,303104,522,579,490.34,1.0,0.027267400175333023,0.005711040925234556,36,0.0,0.8993992805480957,163499518.8171875,0.001
-88029.88972944,38,311296,522,595,491.71,1.0,0.02584974095225334,0.005979112349450588,37,0.0,0.8858962059020996,165029870.915625,0.001
-85479.42222944,39,319488,522,610,505.91,1.0,0.012602422386407852,0.004816538654267788,38,2.384185791015625e-07,0.8825404047966003,141753278.53046876,0.001
-81951.85806277,40,327680,523,626,523.97,1.0,0.019053641706705093,0.005521359853446484,39,0.0,0.8755123019218445,102674500.13691406,0.001
-79540.34056277,41,335872,523,642,546.54,1.0,0.021183723583817482,0.005064114928245544,40,-1.1920928955078125e-07,0.8714713454246521,113488473.809375,0.001
-78872.56556276999,42,344064,523,657,552.87,1.0,0.02035219967365265,0.004453727509826422,41,5.960464477539063e-08,0.8724470138549805,103221293.459375,0.001
