train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/ent_coef_loss,train/learning_rate
30658.9765625,520.14,984748,1449960.25,9.644551277160645,9188,-78538.09895299001,107,3040,246161,0.12219014763832092,0.0001
31818.48828125,534.05,988568,3108097.5,9.651495933532715,9224,-77671.17395299001,107,3044,247116,0.5505003333091736,0.0001
32497.837890625,524.89,991452,1437682.125,9.648760795593262,9254,-78565.12395299,107,3048,247837,-0.9304242134094238,0.0001
32478.80859375,534.15,992960,1550740.5,9.776542663574219,9268,-78411.08645299001,107,3052,248214,-0.7948969602584839,0.0001
31275.55859375,539.26,995636,943844.125,9.795392036437988,9293,-78314.41145299001,107,3056,248883,-0.10708069801330566,0.0001
33276.265625,553.7,997568,2354798.25,9.811983108520508,9311,-77349.62395299,107,3060,249366,0.0904659628868103,0.0001
32708.88671875,570.83,1001568,5902139.5,9.953253746032715,9350,-75507.56145299,107,3064,250366,-0.05478756129741669,0.0001
32545.97265625,572.66,1005480,893931.0,9.515768051147461,9390,-77893.16222222001,107,3068,251344,1.4741637706756592,0.0001
32248.01171875,579.48,1007388,1382662.25,9.231476783752441,9408,-76914.99972222,107,3072,251821,1.9578746557235718,0.0001
33227.859375,569.25,1010196,1764804.375,8.89124584197998,9438,-78188.21638889,107,3076,252523,1.4538841247558594,0.0001
32292.486328125,573.42,1011688,1365971.0,8.753195762634277,9452,-76228.10388889,107,3080,252896,1.7430086135864258,0.0001
34042.2265625,571.08,1012696,2575220.0,8.667129516601562,9461,-76327.80388889,107,3084,253148,1.5752795934677124,0.0001
31352.63671875,578.67,1015948,1170434.5,8.342147827148438,9492,-74312.66916666999,107,3088,253961,2.7423739433288574,0.0001
32792.84375,578.42,1017856,3820949.5,8.166932106018066,9510,-74483.26944445,107,3092,254438,1.7267968654632568,0.0001
32055.939453125,582.95,1021172,1230203.5,7.979064464569092,9542,-74058.52500001,107,3096,255267,0.6959182024002075,0.0001
34717.28515625,566.46,1021676,3648064.0,7.951680660247803,9547,-74556.87222223001,107,3100,255393,1.922445297241211,0.0001
30761.1875,579.0,1023492,3139845.5,7.827388286590576,9564,-73805.73472223,107,3104,255847,2.1315789222717285,0.0001
33268.96875,592.52,1024712,3977016.25,7.748431205749512,9576,-72803.75972223001,107,3108,256152,1.2844047546386719,0.0001
31958.29296875,593.36,1025964,958180.5,7.677158355712891,9588,-72552.48472223,107,3112,256465,2.2055156230926514,0.0001
32625.544921875,581.82,1027692,2060168.625,7.623213768005371,9605,-72686.78472223,106,3116,256897,-0.059252314269542694,0.0001
32098.7421875,578.51,1030648,1300685.75,7.568751335144043,9633,-73689.78194445,106,3120,257636,-0.3046936094760895,0.0001
33096.78125,592.67,1032672,1693551.75,7.615776062011719,9652,-72758.94444445,106,3124,258142,-0.2869519889354706,0.0001
32284.09765625,604.45,1035396,1082465.25,7.70227575302124,9680,-70893.91944445,106,3128,258823,-0.3652075231075287,0.0001
34337.2265625,586.35,1036388,1223862.25,7.707742691040039,9690,-71287.96015874,106,3132,259071,-0.2208365499973297,0.0001
32132.859375,564.82,1037740,1501467.75,7.707254409790039,9703,-73225.18099207,106,3136,259409,1.1170179843902588,0.0001
33378.48046875,550.57,1040144,1375617.875,7.695550441741943,9725,-75076.00599207002,106,3140,260010,-0.9360822439193726,0.0001
31762.76953125,537.2,1042372,1593206.0,7.7470808029174805,9746,-75340.53992064,106,3144,260567,-0.9742758870124817,0.0001
32599.70703125,533.44,1043912,1337144.375,7.847434043884277,9761,-75121.56492064,106,3148,260952,-1.4684914350509644,0.0001
31065.71484375,523.37,1044720,2025731.5,7.9238972663879395,9768,-75282.63992064,106,3152,261154,-1.600409746170044,0.0001
33772.953125,533.34,1048720,2757127.5,8.433633804321289,9805,-74419.26492064,106,3156,262154,-3.2276875972747803,0.0001
35733.35546875,529.77,1050064,13836737.0,8.568833351135254,9819,-74610.00242064,106,3160,262490,-2.0996336936950684,0.0001
30724.8515625,498.97,1051624,1915212.75,8.755409240722656,9834,-77783.87742064,106,3164,262880,-3.9454336166381836,0.0001
31481.5390625,500.23,1053712,1197000.875,8.955387115478516,9854,-75200.0329762,106,3168,263402,-1.7101962566375732,0.0001
35051.17578125,479.07,1055680,1970322.75,9.125606536865234,9872,-77008.9704762,106,3172,263894,-1.4113998413085938,0.0001
31578.91015625,482.12,1058980,4255179.0,9.356765747070312,9905,-77143.5829762,106,3176,264719,-1.7068743705749512,0.0001
36188.52734375,489.96,1060632,3040702.5,9.49667739868164,9923,-77106.83436509,106,3180,265132,-3.2827908992767334,0.0001
31260.2265625,500.6,1061876,1789712.625,9.59459114074707,9935,-77213.23436509,106,3184,265443,-4.303075790405273,0.0001
36092.796875,488.83,1064704,2065681.5,9.808663368225098,9961,-79193.56908731001,106,3188,266150,-1.8927693367004395,0.0001
32714.8671875,484.91,1067040,1365830.0,9.947514533996582,9985,-79403.45658731001,106,3192,266734,-1.8144155740737915,0.0001
33864.3125,500.18,1070992,1425465.25,10.057845115661621,10023,-79425.33158731001,106,3196,267722,-1.4378280639648438,0.0001
33081.4921875,514.93,1072896,3047398.5,10.003412246704102,10041,-78458.14408731001,106,3200,268198,-0.24485960602760315,0.0001
32309.72265625,520.68,1075548,1213214.75,9.887001037597656,10067,-79515.54408731,106,3204,268861,1.2612497806549072,0.0001
32668.357421875,522.76,1076932,1286673.5,9.816344261169434,10081,-80673.51908731001,106,3208,269207,1.1206274032592773,0.0001
33077.78515625,543.4,1080580,12550880.0,9.6835298538208,10117,-78996.83158731001,106,3212,270119,1.950603723526001,0.0001
33419.234375,565.04,1084336,1638279.75,9.369441032409668,10152,-77060.05242064,106,3216,271058,2.2774548530578613,0.0001
33451.2421875,564.99,1086788,1199964.0,9.196471214294434,10175,-77184.65658731,106,3220,271671,1.6786024570465088,0.0001
