train/critic_loss,train/ent_coef_loss,time/fps,train/n_updates,train/learning_rate,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
20978.94140625,-1.2703264951705933,329,1993,0.001,210.88888888888889,311.16650390625,16048,1.5263034105300903,-15259.539817777779,72,48,,
85185.078125,-0.6896876692771912,332,2124,0.001,211.27631578947367,373.1338195800781,17096,1.5621002912521362,-14834.287789526315,76,51,,
52190.3671875,-0.7808482646942139,338,2324,0.001,210.3625,205.3643341064453,18696,1.60743248462677,-14114.413427749998,80,55,,
43020.5703125,-0.6245644688606262,341,2487,0.001,213.19277108433735,402.518798828125,20000,1.642506718635559,-13967.7064913253,83,58,,
,,,,,,,20000,,,,,-47449.481142,593.2
34686.6875,-0.853947103023529,318,2563,0.001,218.91666666666666,251.2758026123047,20608,1.659509301185608,-13868.558468297617,84,64,,
73306.8125,-1.1085938215255737,318,2680,0.001,218.9431818181818,242.25360107421875,21544,1.6876673698425293,-13235.737854670455,88,67,,
29314.578125,-0.9575143456459045,319,2871,0.001,230.58695652173913,263.1827697753906,23072,1.7283358573913574,-13562.174445652176,92,72,,
21735.291015625,-0.9380111694335938,320,3015,0.001,230.36458333333334,310.4662170410156,24224,1.7676211595535278,-13517.358353656251,96,75,,
34210.078125,-0.7618298530578613,322,3205,0.001,229.84,364.9298400878906,25744,1.812069058418274,-13291.566798849999,100,79,,
201172.6875,-0.7254716157913208,322,3282,0.001,246.69,338.9933776855469,26360,1.8265153169631958,-13486.325646050002,104,81,,
179746.71875,-0.8240945339202881,324,3393,0.001,251.44,255.5087890625,27248,1.849022388458252,-12964.03496211,108,84,,
49366.0234375,-0.5376461744308472,325,3554,0.001,252.85,179.6819305419922,28536,1.8821330070495605,-12409.93871885,112,87,,
43967.5390625,-0.35805583000183105,324,3636,0.001,264.9,305.6640319824219,29192,1.8938647508621216,-12229.929746840002,116,89,,
43372.859375,-0.3115425407886505,324,3679,0.001,264.33,276.0513610839844,29536,1.8980151414871216,-12002.191147399999,120,90,,
74407.015625,-0.5155289173126221,325,3737,0.001,264.4,287.1011657714844,30000,1.9045597314834595,-11845.99714829,121,92,,
,,,,,,,30000,,,,,-11337.4974034,314.8
133811.03125,-0.6208307147026062,317,3808,0.001,267.48,285.68011474609375,30568,1.9188995361328125,-11848.479452480002,124,96,,
54150.6171875,-0.49645909667015076,317,3915,0.001,273.14,349.60247802734375,31424,1.9393662214279175,-11189.68064214,128,98,,
114241.359375,-0.39567142724990845,317,4075,0.001,270.23,339.1142272949219,32704,1.9668452739715576,-10546.770298439998,132,102,,
133902.25,0.06327913701534271,317,4338,0.001,279.15,264.86700439453125,34808,1.9852956533432007,-10521.07065335,136,109,,
19623.595703125,0.08002849668264389,319,4621,0.001,291.43,113.30191802978516,37072,2.0063018798828125,-10155.00105436,140,116,,
140172.359375,-0.07343724370002747,320,4721,0.001,298.09,307.7300109863281,37872,2.008533477783203,-9525.310210549998,144,118,,
369138.8125,0.12902483344078064,320,4845,0.001,296.03,343.1402893066406,38864,2.0108463764190674,-8530.5304538,148,121,,
28562.35546875,0.010098136961460114,321,4987,0.001,294.86,268.0683898925781,40000,2.014052152633667,-8631.67928579,150,124,,
,,,,,,,40000,,,,,-18811.648622799996,645.4
57363.8203125,-0.10593243688344955,310,5023,0.001,297.67,253.85565185546875,40288,2.0158605575561523,-8486.70182633,152,129,,
412925.125,0.07783717662096024,310,5085,0.001,286.91,350.3040771484375,40784,2.0170445442199707,-7239.183375259999,156,131,,
42004.296875,-0.2608795762062073,311,5250,0.001,289.11,334.36517333984375,42104,2.025912284851074,-7100.17703214,160,135,,
125751.265625,-0.14784246683120728,312,5531,0.001,285.37,286.7392883300781,44352,2.0615108013153076,-5991.092551830001,164,141,,
41459.25,-0.009059116244316101,312,5667,0.001,300.97,354.14276123046875,45440,2.0631301403045654,-6366.791666479999,168,145,,
110079.53125,-0.062420666217803955,313,5772,0.001,295.88,153.17474365234375,46280,2.0665125846862793,-5675.979314890001,172,147,,
88262.8828125,0.23464363813400269,313,5889,0.001,303.41,191.07659912109375,47216,2.064729928970337,-5841.11307019,176,150,,
31123.08984375,-0.11060340702533722,313,5962,0.001,303.63,120.29048156738281,47800,2.065948724746704,-5993.677691180001,180,152,,
55654.0078125,-0.18216979503631592,314,6064,0.001,294.58,204.77700805664062,48616,2.070348024368286,-5913.297258230001,184,154,,
27543.4921875,0.08859303593635559,314,6237,0.001,289.91,224.00106811523438,50000,2.067998170852661,-5866.298300849999,187,158,,
,,,,,,,50000,,,,,-5864.909905399999,440.0
94823.125,0.5612170696258545,308,6262,0.001,291.35,225.33584594726562,50200,2.0660364627838135,-5894.158140289999,188,162,,
114784.1796875,-0.10314171761274338,309,6332,0.001,281.32,119.34331512451172,50760,2.056833505630493,-5159.39081859,192,164,,
29866.4375,0.07556471228599548,309,6438,0.001,280.4,237.24673461914062,51608,2.051670551300049,-4850.5391236899995,196,166,,
53939.53515625,0.013411007821559906,310,6643,0.001,282.7,144.9459991455078,53248,2.0322320461273193,-4919.4969520899995,200,171,,
258287.125,0.22867295145988464,310,6736,0.001,274.37,270.92950439453125,53992,2.026313066482544,-4660.7862070599995,204,173,,
38469.6796875,0.05167005956172943,311,6914,0.001,276.27,217.68258666992188,55416,1.9968771934509277,-4913.53811662,208,177,,
125450.0390625,0.06714650243520737,311,6977,0.001,274.64,186.62850952148438,55920,1.9925363063812256,-5266.87508836,212,179,,
37379.4296875,-0.48036617040634155,312,7207,0.001,269.95,128.11065673828125,57760,2.0203497409820557,-5191.577897079999,216,184,,
201728.59375,0.2570432126522064,313,7451,0.001,279.34,207.06979370117188,59712,2.061229944229126,-5056.17244234,220,190,,
101330.3515625,0.27583757042884827,313,7487,0.001,279.34,212.73924255371094,60000,2.0554285049438477,-5056.17244234,220,191,,
,,,,,,,60000,,,,,-3625.9731162000003,179.4
104244.6484375,0.3388606905937195,311,7641,0.001,304.21,259.6463928222656,61232,2.0250062942504883,-5874.67517894,224,196,,
18891.015625,0.21221503615379333,311,7655,0.001,304.31,211.76991271972656,61344,2.0218234062194824,-6143.532496260001,228,196,,
25846.50390625,-0.03599780052900314,313,7861,0.001,307.97,215.41815185546875,62992,1.9929256439208984,-5852.5904207700005,232,201,,
17730.986328125,0.345167875289917,313,8003,0.001,303.28,143.50335693359375,64128,2.0013632774353027,-5779.336206520001,236,204,,
101381.234375,0.060271698981523514,313,8128,0.001,294.53,173.09420776367188,65128,1.9855396747589111,-5481.99213372,240,207,,
218249.03125,-0.03377595916390419,314,8230,0.001,280.89,276.2896728515625,65944,1.9721667766571045,-5530.763429299999,244,209,,
394133.9375,0.4653160870075226,314,8326,0.001,278.24,204.698974609375,66712,1.9584906101226807,-5469.385031700001,248,212,,
18431.4765625,0.14212359488010406,314,8425,0.001,279.7,101.01019287109375,67504,1.9471355676651,-5188.25803476,252,214,,
79708.984375,0.17930111289024353,315,8641,0.001,279.65,169.81314086914062,69232,1.9270461797714233,-5390.08210511,256,219,,
123564.7109375,0.4145660996437073,315,8712,0.001,276.83,161.60289001464844,69800,1.91483473777771,-5031.091088729999,260,221,,
113400.2109375,0.06734619289636612,315,8737,0.001,276.83,118.5863037109375,70000,1.909816026687622,-5031.091088729999,260,221,,
,,,,,,,70000,,,,,-873.0833598000002,166.6
156234.78125,0.5390785336494446,313,8772,0.001,269.96,174.9237060546875,70280,1.9023528099060059,-5077.26810263,264,224,,
20731.859375,-0.0531100332736969,314,8887,0.001,261.69,158.18382263183594,71200,1.8677566051483154,-4648.518796779999,268,226,,
135202.53125,0.21586047112941742,314,9076,0.001,263.46,144.92938232421875,72712,1.871809720993042,-4512.796032679999,272,230,,
30591.001953125,0.15430854260921478,315,9311,0.001,262.3,150.61878967285156,74592,1.8577522039413452,-4133.0964196,276,236,,
61813.6796875,-0.12814851105213165,315,9462,0.001,271.19,172.25938415527344,75800,1.8352749347686768,-3953.78852274,280,239,,
41084.65234375,-0.08944118767976761,316,9559,0.001,271.87,210.92315673828125,76576,1.8364030122756958,-3678.33219334,284,242,,
20815.19140625,-0.2992655634880066,316,9662,0.001,279.02,218.70184326171875,77400,1.8344831466674805,-3788.225390379999,288,244,,
116775.328125,0.073176309466362,316,9781,0.001,278.84,82.31866455078125,78352,1.8357186317443848,-3817.9218944599984,292,247,,
30344.515625,0.04850490763783455,317,9987,0.001,276.49,-3.0408692359924316,80000,1.8031219244003296,-3772.717898469999,294,252,,
,,,,,,,80000,,,,,-21069.410104000002,436.0
75275.953125,-0.22063866257667542,313,10012,0.001,278.82,-19.365280151367188,80200,1.804456353187561,-3671.3742097099994,296,255,,
28934.77734375,-0.2158088982105255,313,10063,0.001,285.31,-24.83706283569336,80608,1.8139311075210571,-3147.53998973,300,257,,
32090.32421875,0.053551167249679565,313,10218,0.001,285.56,127.78262329101562,81848,1.8094251155853271,-3204.6461083900003,304,261,,
148682.34375,0.03179562836885452,314,10356,0.001,280.82,152.80043029785156,82952,1.7783734798431396,-3232.9992815899996,308,264,,
118072.578125,0.244852215051651,314,10546,0.001,289.24,56.31727600097656,84472,1.7519975900650024,-2996.62738809,312,268,,
113907.890625,0.11838375777006149,314,10703,0.001,284.79,88.33827209472656,85728,1.7257459163665771,-2809.30304533,316,272,,
142465.0625,-0.11339777708053589,315,10883,0.001,283.45,116.84214782714844,87168,1.7109929323196411,-3223.644050159999,320,276,,
188756.046875,0.04185377061367035,315,11053,0.001,279.06,11.33596134185791,88528,1.7584894895553589,-2774.5379723400006,324,280,,
134012.28125,0.08209516853094101,315,11130,0.001,271.98,71.83277130126953,89144,1.7570748329162598,-2590.3796017400005,328,282,,
42876.0625,0.15230989456176758,316,11204,0.001,271.19,22.749338150024414,89736,1.7537853717803955,-2594.91077316,332,283,,
36603.765625,0.3259238600730896,316,11237,0.001,271.19,-14.421520233154297,90000,1.7473840713500977,-2594.91077316,332,284,,
,,,,,,,90000,,,,,-1304.5422158000001,386.6
25081.62890625,-0.10777133703231812,313,11361,0.001,268.89,-6.790716171264648,90992,1.7408674955368042,-2581.1332872800003,336,290,,
120216.828125,0.16878432035446167,313,11505,0.001,271.26,30.906436920166016,92144,1.7377691268920898,-2597.4905418499998,340,293,,
103953.546875,0.06263105571269989,313,11607,0.001,273.27,134.1082763671875,92960,1.7261344194412231,-2058.0034163500004,344,296,,
202209.453125,0.1725025624036789,313,11665,0.001,266.0,1.2918519973754883,93424,1.721470832824707,-2039.0508010900003,348,297,,
72407.6796875,-0.08056920021772385,314,11741,0.001,266.22,26.25518035888672,94032,1.7185169458389282,-1885.18323978,352,299,,
62735.05078125,0.013037148863077164,314,11888,0.001,263.54,31.546588897705078,95208,1.7394378185272217,-1785.5099182799997,356,302,,
67139.5546875,-0.12435077130794525,314,11984,0.001,265.32,-16.911041259765625,95976,1.742708444595337,-2033.5181421500001,360,305,,
31594.451171875,0.15306659042835236,315,12275,0.001,271.08,8.551928520202637,98304,1.7575732469558716,-1878.4989840000003,364,311,,
25821.4609375,0.11762352287769318,315,12388,0.001,279.75,-39.40736770629883,99208,1.742407202720642,-1980.19201069,368,314,,
133314.125,-0.2896912693977356,315,12459,0.001,278.96,-101.43394470214844,99776,1.740027666091919,-1859.9909717100004,372,315,,
37854.05078125,0.1432836800813675,315,12487,0.001,278.96,-65.59121704101562,100000,1.744137167930603,-1859.9909717100004,372,316,,
,,,,,,,100000,,,,,-9297.1511028,468.4
18183.416015625,0.18200398981571198,313,12683,0.001,270.08,-121.19692993164062,101568,1.7442983388900757,-1738.2173994500001,376,324,,
30363.8515625,0.16679498553276062,313,12773,0.001,269.17,-63.6671142578125,102288,1.7299044132232666,-1877.13605996,380,326,,
32893.3125,-0.14374609291553497,313,12891,0.001,269.8,-138.40699768066406,103232,1.7110519409179688,-1955.7039588300004,384,329,,
95275.640625,-0.05479222908616066,313,12985,0.001,264.6,-92.94932556152344,103984,1.7145674228668213,-1923.1287817399998,388,331,,
134163.84375,-0.31914377212524414,313,13043,0.001,264.35,-166.4010467529297,104448,1.7258930206298828,-1870.0826167699997,392,332,,
27433.998046875,-0.16384688019752502,313,13183,0.001,263.96,-145.11924743652344,105568,1.7843940258026123,-2024.7452414200002,396,336,,
27990.046875,-0.10180258750915527,314,13383,0.001,256.91,-142.1433868408203,107168,1.8193798065185547,-1994.6290978099996,400,341,,
131180.78125,0.07364197075366974,314,13641,0.001,262.88,-211.87371826171875,109232,1.825469732284546,-1952.44187449,404,347,,
150697.1875,-0.107429638504982,314,13711,0.001,271.72,-191.40512084960938,109792,1.8090611696243286,-1958.6928220400005,408,348,,
254599.40625,-0.027093252167105675,314,13737,0.001,271.72,-171.52603149414062,110000,1.8083235025405884,-1958.6928220400005,408,349,,
,,,,,,,110000,,,,,-13853.744184,501.2
154536.25,-0.1806013286113739,312,13978,0.001,266.25,-316.1431884765625,111928,1.840813159942627,-2005.5499905800002,412,358,,
99242.015625,-0.04035451263189316,312,14105,0.001,272.52,-284.579345703125,112944,1.8492239713668823,-2285.81650972,416,361,,
147077.078125,-0.40962886810302734,312,14172,0.001,272.25,-163.51902770996094,113480,1.8662357330322266,-2784.3954733400005,420,363,,
23494.08203125,-0.30622702836990356,312,14357,0.001,261.4,-222.15972900390625,114960,1.9631352424621582,-4077.99148729,424,367,,
25590.478515625,0.32366156578063965,312,14552,0.001,267.32,-98.69849395751953,116520,1.9633846282958984,-3925.14555053,428,372,,
25766.078125,0.31024104356765747,312,14611,0.001,274.28,-223.73257446289062,116992,1.9431065320968628,-3878.25925954,432,374,,
74559.4375,0.2660011947154999,312,14733,0.001,277.51,-76.14909362792969,117968,1.9009625911712646,-3635.461630519999,436,376,,
247329.28125,-0.23734013736248016,313,14837,0.001,267.24,-157.44415283203125,118800,1.90036940574646,-3365.4938767699996,440,379,,
203422.015625,0.06069564074277878,313,14931,0.001,270.22,-300.5962829589844,119552,1.9342865943908691,-3531.02244495,444,381,,
41593.7421875,0.11958794295787811,313,14987,0.001,269.33,-179.82174682617188,120000,1.9521430730819702,-3378.2038412300003,445,382,,
,,,,,,,120000,,,,,-24352.4328392,316.0
80577.96875,0.1602194458246231,311,15066,0.001,269.42,-249.9764404296875,120632,1.947758436203003,-3426.1742630500007,448,386,,
31349.10546875,0.2503584027290344,312,15239,0.001,269.8,-165.46969604492188,122016,1.9332282543182373,-3427.071959149999,452,390,,
234741.921875,0.1437339037656784,312,15388,0.001,276.75,-191.9905548095703,123208,1.8829423189163208,-3353.3356325100003,456,394,,
123809.84375,0.10244163870811462,312,15477,0.001,276.34,-277.8807373046875,123920,1.849992036819458,-3108.05870686,460,396,,
22397.90234375,-0.1617431491613388,312,15573,0.001,270.62,-263.130126953125,124688,1.8536951541900635,-3200.2318817300006,464,398,,
25427.76953125,-0.07087549567222595,312,15658,0.001,265.41,-166.10556030273438,125368,1.8628466129302979,-2966.02414485,468,400,,
117931.78125,0.21042057871818542,313,15831,0.001,266.23,-445.70074462890625,126752,1.8805747032165527,-3057.8509210499997,472,404,,
53282.67578125,0.31640246510505676,313,15876,0.001,268.91,-280.31591796875,127112,1.8620753288269043,-2994.517323140001,476,405,,
146634.71875,0.036495134234428406,313,15973,0.001,259.29,-239.27101135253906,127888,1.845706820487976,-3122.3139017500002,480,407,,
153747.359375,-0.23636549711227417,313,16117,0.001,259.08,-297.69921875,129040,1.879071593284607,-3072.64572383,484,411,,
259835.734375,-0.18552550673484802,313,16200,0.001,260.09,-378.5135192871094,129704,1.9052642583847046,-3005.6096843699993,488,413,,
28853.541015625,-0.3401629328727722,313,16237,0.001,260.09,-312.21502685546875,130000,1.9166043996810913,-3005.6096843699993,488,414,,
,,,,,,,130000,,,,,2198.4345244000006,255.6
99854.6875,-0.16288168728351593,312,16345,0.001,263.2,-288.97412109375,130864,1.954962968826294,-2759.17280608,492,418,,
216930.28125,0.4705430269241333,312,16493,0.001,264.73,-319.1140441894531,132048,1.9538178443908691,-2444.1094173399997,496,422,,
161221.984375,0.11186456680297852,313,16659,0.001,267.99,-328.40325927734375,133376,1.874508261680603,-2597.6999567899998,500,426,,
120598.015625,-0.029174726456403732,313,16753,0.001,259.68,-453.21588134765625,134128,1.8638041019439697,-2421.59596643,504,428,,
29593.859375,0.18287301063537598,313,16995,0.001,256.97,-461.0128479003906,136064,1.830130934715271,-1801.5107930200002,508,434,,
111985.28125,0.27641186118125916,313,17075,0.001,259.9,-553.55126953125,136704,1.806371808052063,-1920.3170725200002,512,436,,
249496.0625,0.09321534633636475,313,17168,0.001,256.24,-447.0210266113281,137448,1.794482946395874,-1467.2767128399998,516,438,,
20154.77734375,-0.006992906332015991,313,17318,0.001,250.87,-495.5530700683594,138648,1.7696630954742432,-322.25172109999966,520,441,,
29725.3046875,0.11983855068683624,314,17427,0.001,245.05,-533.3607177734375,139520,1.7729687690734863,968.68823069,524,444,,
24108.8984375,0.0882236659526825,314,17487,0.001,243.78,-478.5240173339844,140000,1.7675715684890747,1087.3820071799998,527,445,,
,,,,,,,140000,,,,,-1079.3806736000001,247.6
130775.8125,-0.12550616264343262,312,17504,0.001,240.75,-514.96875,140136,1.7656034231185913,983.97395781,528,447,,
146228.34375,-0.21411731839179993,313,17633,0.001,229.64,-459.6997375488281,141168,1.7796880006790161,931.5874672899997,532,450,,
126686.734375,0.06541705876588821,313,17725,0.001,228.88,-475.75439453125,141904,1.7837858200073242,998.77394738,536,453,,
64458.46875,0.0007869601249694824,313,17833,0.001,241.66,-475.36907958984375,142768,1.7550175189971924,778.5579960400001,540,455,,
171130.71875,-0.11923965811729431,313,17929,0.001,239.27,-634.3587036132812,143536,1.7500824928283691,462.31837274000003,544,457,,
37735.1640625,0.27550044655799866,313,18096,0.001,236.72,-478.984130859375,144872,1.7394983768463135,357.7047181800001,548,461,,
175669.578125,0.15307433903217316,313,18199,0.001,239.17,-573.6268310546875,145696,1.6831059455871582,178.23907154000014,552,464,,
27863.65234375,-0.26525649428367615,313,18323,0.001,234.88,-507.7867126464844,146688,1.6804609298706055,588.32814841,556,467,,
26315.01953125,0.093047596514225,313,18439,0.001,236.11,-496.89892578125,147616,1.7106170654296875,472.12108122000006,560,470,,
33255.73828125,-0.1336115002632141,314,18607,0.001,238.52,-557.9214477539062,148960,1.7855039834976196,350.81620977,564,473,,
123541.578125,-0.19779065251350403,314,18671,0.001,242.02,-558.4778442382812,149472,1.8435248136520386,306.97498516999997,568,475,,
34469.6640625,-0.10309000313282013,314,18737,0.001,239.58,-537.2628173828125,150000,1.88784921169281,207.41279207999997,569,476,,
,,,,,,,150000,,,,,-2401.3963050000007,437.0
82548.9609375,0.010827362537384033,312,18888,0.001,242.45,-567.1640014648438,151208,1.892845869064331,181.73805606000002,572,483,,
26919.396484375,0.22243958711624146,312,19001,0.001,242.17,-708.7998046875,152112,1.8517019748687744,30.925909290000007,576,486,,
114660.765625,-0.20868900418281555,312,19116,0.001,243.55,-615.7510986328125,153032,1.8364828824996948,388.69573877000005,580,489,,
28150.69140625,0.0550551563501358,313,19319,0.001,248.12,-531.7777099609375,154656,1.8530973196029663,419.93291549,584,493,,
28733.14453125,0.21133121848106384,313,19391,0.001,253.44,-580.8099365234375,155232,1.8442094326019287,235.34955560000006,588,495,,
17873.841796875,0.20918598771095276,313,19516,0.001,249.9,-603.89599609375,156232,1.8096047639846802,289.89358508,592,498,,
27724.48828125,0.19601814448833466,313,19578,0.001,251.74,-569.947265625,156728,1.7927613258361816,344.7137483599998,596,500,,
42534.640625,-0.0439036563038826,313,19669,0.001,242.15,-585.2836303710938,157456,1.7897686958312988,435.54724801999987,600,502,,
32313.7265625,-0.019419396296143532,313,19790,0.001,242.24,-675.69677734375,158424,1.801528811454773,820.9279386400001,604,505,,
30327.77734375,0.009586475789546967,313,19901,0.001,238.1,-587.884765625,159312,1.8136780261993408,650.01180365,608,507,,
112461.625,0.2751092314720154,313,19982,0.001,232.91,-564.017578125,159960,1.7789658308029175,900.3633215099998,612,509,,
202202.734375,-0.16473427414894104,313,19987,0.001,232.91,-501.111572265625,160000,1.7767409086227417,900.3633215099998,612,509,,
,,,,,,,160000,,,,,198.32162020000004,230.6
215965.0,0.09864476323127747,312,20075,0.001,231.78,-697.42578125,160704,1.742927074432373,1041.5803911100002,616,513,,
133127.484375,-0.09004411846399307,313,20182,0.001,231.89,-644.5372924804688,161560,1.6944361925125122,1282.9663673700002,620,515,,
33617.1484375,-0.336911141872406,313,20318,0.001,232.27,-773.625,162648,1.7061868906021118,1595.12531369,624,518,,
48196.5078125,0.17237697541713715,313,20446,0.001,233.74,-688.58349609375,163672,1.7555932998657227,1721.3475052499998,628,521,,
95270.984375,-0.18311816453933716,313,20511,0.001,235.81,-636.4150390625,164192,1.7542380094528198,1753.0476204100005,632,523,,
113505.4609375,-0.010243356227874756,313,20656,0.001,236.12,-677.0648803710938,165352,1.750994086265564,1492.9559563100004,636,526,,
90042.671875,0.09280841797590256,313,20803,0.001,228.69,-723.8106079101562,166528,1.7726744413375854,1737.7775449500002,640,530,,
114445.375,-0.037029411643743515,314,20923,0.001,237.28,-606.8572998046875,167488,1.7590599060058594,1705.88878775,644,533,,
123018.140625,0.3891100287437439,314,21008,0.001,240.74,-652.9371948242188,168168,1.731147289276123,2026.1664764200002,648,535,,
25859.2265625,0.10806861519813538,314,21115,0.001,238.56,-626.2833862304688,169024,1.6904575824737549,1959.2382482500002,652,538,,
29028.62109375,0.17612244188785553,314,21215,0.001,237.67,-674.8917846679688,169824,1.6349170207977295,1580.6575340099998,656,540,,
115961.2734375,0.12220725417137146,314,21237,0.001,233.23,-634.2523193359375,170000,1.624427318572998,1629.8532201499997,657,541,,
,,,,,,,170000,,,,,550.6959777999998,231.8
124407.140625,0.012600235641002655,313,21280,0.001,233.72,-669.0643310546875,170344,1.6059889793395996,1614.3534419500002,660,543,,
29728.439453125,-0.08697915822267532,313,21519,0.001,237.29,-705.0322265625,172256,1.7012332677841187,1799.9070761599996,664,549,,
104592.890625,-0.10459402203559875,313,21575,0.001,231.38,-727.5917358398438,172704,1.7139805555343628,1847.5417465099997,668,550,,
149018.0,-0.1674645096063614,314,21773,0.001,226.56,-805.3797607421875,174288,1.700033187866211,2293.48208216,672,555,,
230669.0,-0.18158142268657684,314,21910,0.001,234.68,-679.2288818359375,175384,1.7948817014694214,2382.99127708,676,558,,
15546.0439453125,-0.09626802802085876,314,22072,0.001,238.68,-739.6387939453125,176680,1.8469830751419067,2474.92728836,680,561,,
137888.203125,-0.020022980868816376,314,22159,0.001,239.62,-828.744873046875,177376,1.8414528369903564,2624.5474949199997,684,564,,
115870.78125,0.15393266081809998,314,22377,0.001,232.3,-695.8151245117188,179120,1.7873547077178955,3027.61313935,688,569,,
35393.1328125,-0.10020890831947327,314,22486,0.001,239.11,-709.4156494140625,179992,1.7874888181686401,3009.7277138400004,692,572,,
270751.4375,,314,22487,0.001,239.11,,180000,1.7874888181686401,3009.7277138400004,692,572,,
,,,,,,,180000,,,,,4383.97037,268.2
33644.37109375,-0.030046969652175903,313,22593,0.001,234.81,-824.1344604492188,180848,1.8388043642044067,3096.9533295400006,696,576,,
24518.240234375,0.016846835613250732,313,22755,0.001,241.6,-793.8724365234375,182144,1.8319730758666992,2983.34931042,700,580,,
29629.99609375,0.19558098912239075,314,22809,0.001,244.26,-795.9976806640625,182576,1.817246913909912,2853.7355771800007,704,581,,
104726.9375,-0.1319214254617691,314,23033,0.001,246.54,-787.87451171875,184368,1.7233589887619019,2832.3324623100007,708,586,,
31438.5703125,-0.08134861290454865,314,23076,0.001,248.12,-794.7896118164062,184712,1.7244442701339722,2793.23132041,712,587,,
35343.40625,-0.12600763142108917,314,23262,0.001,246.12,-900.7420654296875,186200,1.7799839973449707,2586.5981425500004,716,591,,
25636.3984375,0.008986159227788448,314,23416,0.001,247.85,-794.271484375,187432,1.7470489740371704,2581.45072703,720,595,,
101548.3125,0.1264103651046753,315,23537,0.001,248.37,-766.5479736328125,188400,1.7576488256454468,2589.239451,724,597,,
298055.9375,-0.012500690296292305,315,23614,0.001,258.95,-807.7650146484375,189016,1.752281904220581,2143.85477503,728,599,,
112664.4453125,0.11054857075214386,315,23737,0.001,257.63,-790.122314453125,190000,1.7229524850845337,2146.6878717,729,602,,
,,,,,,,190000,,,,,-340.6196220000005,163.0
34245.78125,-0.08757318556308746,314,23761,0.001,260.52,-701.515380859375,190192,1.7194124460220337,2184.5281577299993,732,604,,
133261.0625,-0.16729089617729187,314,23932,0.001,258.82,-832.89453125,191560,1.7152947187423706,2055.5380336199996,736,608,,
25035.015625,-0.2169131636619568,314,24094,0.001,264.02,-815.0243530273438,192856,1.7589315176010132,1910.41198498,740,612,,
259081.609375,0.22394011914730072,314,24323,0.001,270.47,-836.7183837890625,194688,1.7125420570373535,2137.6488480900002,744,618,,
338806.9375,0.12349607795476913,315,24510,0.001,275.03,-874.1268310546875,196184,1.731002926826477,1889.0142978799997,748,622,,
364905.25,-0.006843253970146179,315,24559,0.001,277.06,-955.6803588867188,196576,1.7253055572509766,1682.6761427099998,752,623,,
