time/time_elapsed,train/critic_loss,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,time/fps,train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
4251,0.33339399099349976,0.004521362483501434,135071,92.84574890136719,-5.643698692321777,127,0.0001,540388,1576,291.73,-97431.025
4259,196.2148895263672,0.004538430366665125,135330,92.6170883178711,3.491602897644043,127,0.0001,541424,1580,280.33,-97317.025
4266,390.84912109375,0.004524655640125275,135525,95.9227294921875,-2.0547146797180176,127,0.0001,542204,1584,270.93,-98222.925
4273,195.94647216796875,0.004514698870480061,135725,93.23565673828125,-3.8031890392303467,127,0.0001,543004,1588,249.26,-98286.375
4279,196.04779052734375,0.004500074777752161,135930,96.01897430419922,4.077552795410156,127,0.0001,543824,1592,239.01,-98307.5
4291,0.6553842425346375,0.004530490841716528,136298,96.08687591552734,-1.372741460800171,127,0.0001,545296,1596,238.46,-97302.1
4306,390.7690734863281,0.0045125787146389484,136797,95.52088928222656,-2.9883999824523926,127,0.0001,547292,1600,241.04,-97327.9
4318,195.95166015625,0.004473195411264896,137168,97.82378387451172,3.246793746948242,127,0.0001,548776,1604,243.01,-98631.7625
4320,0.6369419097900391,0.004470979794859886,137229,95.60188293457031,1.0660454034805298,127,0.0001,549020,1608,234.47,-98393.075
4331,196.65692138671875,0.004452184308320284,137567,99.25786590576172,-4.357916831970215,127,0.0001,550372,1612,228.72,-98335.575
4345,391.2060546875,0.004398256540298462,137984,96.11166381835938,-1.7045261859893799,127,0.0001,552040,1616,231.9,-98237.0
4351,1.1802929639816284,0.004414645489305258,138188,97.88024139404297,-2.489715099334717,127,0.0001,552856,1620,241.61,-98071.6125
4357,586.3991088867188,0.004408726003021002,138366,99.36529541015625,-5.242495059967041,127,0.0001,553568,1624,247.36,-97129.2125
4362,1.1966278553009033,0.004405716434121132,138543,94.81855010986328,2.6274404525756836,127,0.0001,554276,1628,234.79,-97104.3875
4369,0.7112270593643188,0.004406882915645838,138739,90.84223937988281,-1.6307973861694336,127,0.0001,555060,1632,231.14,-96963.5125
4380,196.54672241210938,0.004412831272929907,139110,97.64567565917969,6.45175313949585,127,0.0001,556544,1636,234.4,-96891.65
