time/time_elapsed,train/critic_loss,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,time/fps,train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
3112,19.662199020385742,0.0007533336174674332,106650,-82.24163055419922,3.687711238861084,137,0.0001,426704,1568,473.16,-59695.74733764
3135,19.570682525634766,0.0007697835681028664,107464,-29.180522918701172,-1.319555640220642,137,0.0001,429960,1572,479.51,-59499.870909059995
3135,410.20745849609375,0.0007695325766690075,107474,-60.738243103027344,-1.6901090145111084,137,0.0001,430000,1572,479.51,-59499.870909059995
3152,0.03302594646811485,0.0007621591212227941,108085,-64.19349670410156,-1.3572156429290771,137,0.0001,432444,1576,490.8,-57511.16305191001
3172,214.95289611816406,0.0007462538778781891,108798,-82.99601745605469,-1.24325692653656,137,0.0001,435296,1580,497.49,-57618.07555191
3186,19.587406158447266,0.0007378840819001198,109289,-21.770112991333008,-1.421623706817627,137,0.0001,437260,1584,504.38,-58726.260909050005
3197,0.1173688992857933,0.0007288220222108066,109675,-89.37973022460938,-0.2882806956768036,137,0.0001,438804,1588,505.24,-57929.33126619
3205,195.46621704101562,0.0007252294453792274,109974,-149.53292846679688,3.1269805431365967,137,0.0001,440000,1588,505.24,-57929.33126619
3218,214.86952209472656,0.0007252927171066403,110430,-21.84409523010254,-4.395595073699951,137,0.0001,441824,1592,505.97,-58030.08603892
3233,0.16207459568977356,0.0007162165129557252,110964,-163.75465393066406,2.299084424972534,137,0.0001,443960,1596,509.26,-57133.859253209994
3236,195.36297607421875,0.0007146663265302777,111069,-54.84428787231445,-2.192169427871704,137,0.0001,444380,1600,507.62,-56133.57639606
3238,214.92205810546875,0.0007120865047909319,111133,-99.7725601196289,-0.26289987564086914,137,0.0001,444636,1604,501.83,-55229.049253200006
3241,214.8416748046875,0.0007104561664164066,111207,-29.12965202331543,-5.074963092803955,137,0.0001,444932,1608,480.82,-56308.74889606
3244,39.06622314453125,0.0007075440371409059,111323,9.573603630065918,-7.12637186050415,137,0.0001,445396,1612,466.09,-58494.26435061
3247,214.88929748535156,0.0007065150421112776,111428,-128.99127197265625,3.7191529273986816,137,0.0001,445816,1616,450.95,-59579.15503242999
3253,19.692222595214844,0.0007119198562577367,111655,-120.41387176513672,-2.2346014976501465,137,0.0001,446724,1620,431.89,-60760.98142853999
3261,214.99127197265625,0.0007079631322994828,111909,-113.80549621582031,-1.841919183731079,137,0.0001,447740,1624,408.75,-61939.457857119996
3265,429.77197265625,0.000707295723259449,112077,-121.41053771972656,-3.1435627937316895,137,0.0001,448412,1628,392.1,-63024.78035712
3277,0.06956078857183456,0.0007028541876934469,112474,-50.861324310302734,-2.5859878063201904,137,0.0001,450000,1631,388.83,-63021.49785712
3277,195.38662719726562,0.0007028652471490204,112489,-89.75004577636719,2.6126928329467773,137,0.0001,450060,1632,398.47,-62031.145357119996
3281,234.41989135742188,0.0007039600168354809,112619,-64.28215789794922,1.022364616394043,137,0.0001,450580,1636,385.89,-63120.474285690005
3284,39.1545524597168,0.0007066700491122901,112736,-88.49807739257812,-0.2197633981704712,137,0.0001,451048,1640,379.83,-64114.37428569
3286,39.31171417236328,0.0007065585232339799,112806,-83.09719848632812,1.214692234992981,137,0.0001,451328,1644,370.24,-64104.85178569
3288,19.693912506103516,0.0007077305926941335,112871,-160.7021026611328,5.780999183654785,137,0.0001,451588,1648,366.5,-64101.106785690004
3291,195.3718719482422,0.0007084923563525081,112983,-50.74872589111328,-1.2235629558563232,137,0.0001,452036,1652,367.84,-63202.46428569
3296,19.622922897338867,0.0007088218117132783,113127,-64.22190856933594,-0.8848223686218262,137,0.0001,452612,1656,358.54,-64294.56714283
3300,214.9142608642578,0.0007109055295586586,113297,-47.18985366821289,-2.512756824493408,137,0.0001,453292,1660,333.86,-65473.00535712
3305,0.15291205048561096,0.0007137247011996806,113462,-166.49497985839844,0.9747441411018372,137,0.0001,453952,1664,313.4,-66653.55964284
3309,19.662269592285156,0.0007171474280767143,113598,-79.28276062011719,4.583542823791504,137,0.0001,454496,1668,279.43,-69821.25857141
3316,39.20697021484375,0.0007341310265474021,113831,-150.39340209960938,1.3424029350280762,137,0.0001,455428,1672,245.19,-72089.88607142
3319,234.43328857421875,0.0007395392749458551,113963,-53.29425048828125,-0.96666419506073,137,0.0001,455956,1676,228.64,-73275.83178571
3321,0.12434663623571396,0.0007411568658426404,114026,-121.03717041015625,3.3454232215881348,137,0.0001,456208,1680,216.6,-72263.75178571
3327,19.725725173950195,0.0007473435834981501,114211,-146.14157104492188,1.8177533149719238,137,0.0001,456948,1684,198.87,-72246.01678571
3334,19.625822067260742,0.0007572582107968628,114461,-121.28219604492188,7.331567764282227,137,0.0001,457948,1688,184.52,-73231.63678571
3338,0.16298677027225494,0.0007625608704984188,114602,-120.4297866821289,0.7713424563407898,137,0.0001,458512,1692,170.46,-73217.56428571
3341,19.58953857421875,0.0007672762731090188,114716,-50.74549102783203,4.401885032653809,137,0.0001,458968,1696,160.81,-74207.90428571
3346,215.06285095214844,0.0007746740011498332,114870,-177.394287109375,8.02396297454834,137,0.0001,459584,1700,160.9,-74308.48
3349,97.7349624633789,0.0007782038301229477,114974,-85.20368194580078,0.5070048570632935,137,0.0001,460000,1702,152.3,-75299.8725
3349,39.106388092041016,0.0007794129196554422,115003,-21.86083984375,-3.777672290802002,137,0.0001,460116,1704,154.48,-75302.055
3351,19.692235946655273,0.000781807117164135,115059,-101.13188934326172,4.439255714416504,137,0.0001,460340,1708,154.21,-75301.8175
3353,19.64581871032715,0.0007846743101254106,115125,-66.8268051147461,6.74261474609375,137,0.0001,460604,1712,153.99,-75301.6225
3355,390.6044616699219,0.0007875118171796203,115181,-29.25814437866211,0.813197672367096,137,0.0001,460828,1716,148.9,-75296.5625
3356,0.1593743860721588,0.0007902634679339826,115244,-127.87403106689453,1.723586082458496,137,0.0001,461080,1720,144.21,-75291.9
