time/episodes,train/n_updates,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef_loss,time/fps,train/ent_coef
296,7958,250.18568420410156,31936,188,-97057.03166666001,148.85,1029.917236328125,0.0003,-1.1795622110366821,169,0.8302398324012756
300,8944,68.71028900146484,35880,211,-96242.23166666001,167.36,1091.9200439453125,0.0003,-1.9129618406295776,169,0.6690589785575867
304,9918,653.8023071289062,39776,234,-93611.43166666,204.25,1322.0740966796875,0.0003,-1.7657519578933716,169,0.545875072479248
308,10918,488.821533203125,43776,258,-90075.58166666001,240.47,1294.7762451171875,0.0003,-1.9515094757080078,169,0.4342820346355438
312,11752,303.36663818359375,47112,278,-87480.28166666001,270.82,1347.005615234375,0.0003,-2.3521361351013184,169,0.35111966729164124
316,12591,480.4798889160156,50468,297,-84788.08166666001,301.57,1370.2093505859375,0.0003,-3.285740613937378,169,0.28273633122444153
320,12918,461.46337890625,51776,305,-83885.10666666001,327.15,1236.7091064453125,0.0003,-3.3274600505828857,169,0.2605636417865753
324,13893,521.1939086914062,55676,328,-82181.50666666,356.77,1700.246337890625,0.0003,-2.5891408920288086,169,0.20698516070842743
328,14893,130.30084228515625,59676,352,-79500.50666666,388.64,1442.48046875,0.0003,-1.931753396987915,169,0.1671932190656662
332,15893,98.370361328125,63676,376,-77064.77333333,424.65,1263.017578125,0.0003,-3.261105537414551,168,0.14221090078353882
336,16586,509.0842590332031,66448,393,-75428.47333333001,450.91,1488.588623046875,0.0003,-2.0549087524414062,168,0.12691061198711395
340,17013,344.457275390625,68156,403,-74697.87333333,467.84,1599.464111328125,0.0003,-1.7406176328659058,168,0.11972873657941818
344,17364,168.6245574951172,69560,412,-73802.57333333,478.3,1696.5399169921875,0.0003,-3.9717767238616943,168,0.11355803161859512
348,18106,149.0677490234375,72528,429,-73903.77333333,488.42,1563.531005859375,0.0003,-2.0420143604278564,168,0.10547184199094772
352,18265,299.508544921875,73164,433,-73047.99833333,503.65,1372.248291015625,0.0003,-1.9581787586212158,168,0.10406436771154404
356,18519,588.3568115234375,74180,439,-73278.64833333,516.55,1928.10107421875,0.0003,3.4776344299316406,168,0.10097118467092514
360,18844,299.6202392578125,75480,447,-73424.77333333,520.96,2095.487548828125,0.0003,1.502028226852417,168,0.09963107854127884
364,19101,384.68511962890625,76508,453,-73497.27333333,528.21,1728.489013671875,0.0003,1.1426321268081665,168,0.09916926920413971
368,19203,445.6123352050781,76916,455,-73639.915,532.58,1198.78564453125,0.0003,-2.496044397354126,168,0.09983360022306442
372,19408,921.5601196289062,77736,460,-73631.815,531.77,1809.827880859375,0.0003,-1.7311033010482788,168,0.09957883507013321
376,19529,250.70399475097656,78220,463,-73652.115,533.8,2137.19189453125,0.0003,4.745858669281006,168,0.10002691298723221
380,19667,267.34930419921875,78772,467,-73815.225,529.71,1772.5550537109375,0.0003,0.8261752128601074,168,0.10019966214895248
384,19753,694.0542602539062,79116,469,-73796.925,527.88,1443.0623779296875,0.0003,-1.8593406677246094,168,0.1006302759051323
388,20701,146.2156524658203,82908,491,-72019.575,539.99,1517.79248046875,0.0003,-0.3439887762069702,168,0.10369138419628143
392,20766,438.43548583984375,83168,493,-71909.775,529.01,2311.09375,0.0003,3.550842523574829,168,0.10426033288240433
396,20825,298.92889404296875,83404,494,-73669.675,505.02,1648.9114990234375,0.0003,0.8729313611984253,168,0.10464651882648468
400,20865,560.2784423828125,83564,495,-73575.375,495.59,1998.6190185546875,0.0003,0.5252285599708557,168,0.10441640764474869
404,20902,280.8925476074219,83712,496,-76195.075,457.59,1382.1826171875,0.0003,-1.598784327507019,168,0.10432444512844086
408,20940,458.49713134765625,83864,497,-79810.475,419.17,1345.730224609375,0.0003,0.5591784119606018,168,0.10418710857629776
412,20986,177.71400451660156,84048,499,-82487.175,386.87,1773.953857421875,0.0003,0.16865599155426025,168,0.10372009128332138
416,21029,690.4111938476562,84220,500,-85169.675,355.15,1399.1849365234375,0.0003,-2.1139698028564453,168,0.10352867096662521
420,21068,181.5608673095703,84376,501,-86062.75,328.58,1877.797607421875,0.0003,-1.0560545921325684,168,0.10326270759105682
424,21112,460.1697998046875,84552,502,-87746.25,296.95,1318.07568359375,0.0003,-0.34636789560317993,168,0.10275602340698242
428,21149,403.1844787597656,84700,503,-90401.85,262.54,1793.1182861328125,0.0003,0.08296793699264526,168,0.10242276638746262
432,21190,134.68658447265625,84864,504,-93019.55,224.34,1588.205322265625,0.0003,-1.5133336782455444,168,0.1021583303809166
436,21226,704.563720703125,85008,505,-94747.05,197.11,1599.6820068359375,0.0003,-3.6649653911590576,168,0.10199157148599625
440,21267,414.5440368652344,85172,506,-95552.45,177.66,2123.208740234375,0.0003,0.8418134450912476,168,0.10155919939279556
444,21317,101.48103332519531,85372,507,-96428.05,165.23,1374.26904296875,0.0003,-2.4413037300109863,168,0.10131051391363144
448,21451,120.00027465820312,85908,510,-96304.25,152.85,1461.047607421875,0.0003,-0.19381505250930786,168,0.10084627568721771
452,21618,195.8553466796875,86576,514,-97240.775,135.44,1949.0115966796875,0.0003,1.134162425994873,168,0.10169931501150131
456,21792,127.0237808227539,87272,518,-97094.675,120.83,1569.4278564453125,0.0003,-2.037090539932251,168,0.10194914788007736
460,21968,341.1534729003906,87976,523,-97022.575,113.62,1707.36328125,0.0003,-1.9992823600769043,168,0.10092569142580032
464,22151,131.3401336669922,88708,527,-96922.875,103.65,1529.55029296875,0.0003,0.7174522876739502,168,0.10067035257816315
468,22295,591.0478515625,89284,530,-96053.8,106.33,2099.548828125,0.0003,2.5490803718566895,168,0.10035862773656845
472,22351,474.2341003417969,89508,532,-94203.2,121.25,1392.0625,0.0003,-2.7811379432678223,168,0.10039760917425156
476,22400,346.8113098144531,89704,533,-94157.4,116.67,1695.459228515625,0.0003,1.1324917078018188,168,0.10045413672924042
480,22449,406.999267578125,89900,534,-94126.6,113.59,2309.003662109375,0.0003,-0.12999877333641052,168,0.10029087960720062
484,22503,205.95497131347656,90116,535,-94102.5,111.18,1992.689697265625,0.0003,-1.4489606618881226,168,0.10044673830270767
488,22549,119.3622817993164,90300,536,-95903.3,91.28,1536.107177734375,0.0003,-0.6349645853042603,168,0.10013307631015778
492,22636,306.605224609375,90648,539,-96811.9,82.15,1482.6868896484375,0.0003,-0.6260498762130737,168,0.09984809160232544
496,22699,465.02349853515625,90900,540,-96832.6,84.22,2638.6953125,0.0003,1.0971498489379883,168,0.09981238842010498
500,22800,101.0418472290039,91304,542,-97747.4,75.71,1368.647705078125,0.0003,-1.2219042778015137,168,0.09960509836673737
504,22865,81.26678466796875,91564,544,-97757.5,76.72,1291.036865234375,0.0003,-0.007685720920562744,168,0.09984200447797775
508,22945,104.9836196899414,91884,546,-97769.3,77.9,1482.3251953125,0.0003,-2.058833122253418,168,0.09977161884307861
512,22987,177.90733337402344,92052,547,-97793.4,80.31,1831.8333740234375,0.0003,1.2090004682540894,168,0.0997968316078186
516,23036,547.4776611328125,92248,548,-97793.8,80.35,2209.13134765625,0.0003,-0.9860203266143799,168,0.09995464235544205
520,23319,474.525390625,93380,555,-97823.5,83.32,2318.232421875,0.0003,-0.616968035697937,168,0.10089699178934097
524,23673,805.468505859375,94796,563,-97925.6,93.53,1625.415771484375,0.0003,0.9225607514381409,168,0.10156946629285812
528,23857,751.8441162109375,95532,568,-98043.9,105.36,2129.16259765625,0.0003,5.933067321777344,168,0.103490449488163
532,24059,331.8323974609375,96340,572,-97995.475,110.71,1705.514404296875,0.0003,2.0523934364318848,168,0.1057630181312561
536,24283,299.082275390625,97236,578,-98081.275,119.29,2953.208740234375,0.0003,2.212529420852661,168,0.10774841159582138
540,24505,180.1628875732422,98124,583,-98153.375,126.5,2055.754638671875,0.0003,2.4798638820648193,168,0.108321413397789
544,24946,314.5447998046875,99888,593,-98252.675,136.43,1600.5086669921875,0.0003,-0.2741581201553345,168,0.11027916520833969
548,25253,271.99761962890625,101116,601,-98416.875,152.85,1312.3271484375,0.0003,-2.839510202407837,168,0.11142969876527786
552,25954,276.9664611816406,103920,617,-98575.675,168.73,1306.7572021484375,0.0003,-0.7826854586601257,168,0.11288364976644516
556,26726,269.8349609375,107008,635,-98829.375,194.1,1656.54248046875,0.0003,0.8926019072532654,168,0.1219015121459961
560,27329,506.9238586425781,109420,650,-99070.675,218.23,1745.2132568359375,0.0003,-1.6067838668823242,168,0.12156550586223602
