train/actor_loss,time/total_timesteps,time/fps,train/critic_loss,train/n_updates,train/learning_rate,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
-4083.1455078125,1655432,253,95725.703125,206916,0.001,2.0311121940612793,86.94,6531,0.2001691311597824,7404,10087.51781217,,
-3984.13330078125,1655696,253,47815.7109375,206949,0.001,2.015260696411133,84.06,6532,-0.0734548568725586,7408,10155.479977849998,,
-3885.7041015625,1655864,253,88961.21875,206970,0.001,2.006063938140869,84.21,6532,-0.07785215973854065,7412,10155.539227009998,,
-4144.21875,1656640,253,49363.609375,207067,0.001,2.0277326107025146,84.56,6535,-0.16199490427970886,7416,10155.70292943,,
-4020.7021484375,1656832,253,67346.9921875,207091,0.001,2.0381064414978027,85.48,6535,-0.04282626509666443,7420,10166.458788560001,,
-4321.96826171875,1657224,253,43929.234375,207140,0.001,2.0622148513793945,85.82,6536,-0.37809765338897705,7424,10166.35504896,,
-4297.2060546875,1657552,253,71302.3046875,207181,0.001,2.0777688026428223,86.12,6537,-0.037067219614982605,7428,10164.71290022,,
-4304.77734375,1657792,253,91547.9375,207211,0.001,2.0848119258880615,86.41,6538,-0.24989256262779236,7432,10164.756265770002,,
-4189.86474609375,1658048,253,43656.84765625,207243,0.001,2.0880532264709473,85.91,6539,0.09436577558517456,7436,10163.78740067,,
-4433.333984375,1658256,253,52920.5546875,207269,0.001,2.091902017593384,94.81,6539,-0.04717863351106644,7440,10030.88318426,,
-4345.0283203125,1658688,253,58639.40625,207323,0.001,2.087580680847168,86.27,6540,0.14421960711479187,7444,10252.829854639998,,
-4181.95849609375,1658976,253,161479.984375,207359,0.001,2.087848424911499,85.38,6541,-0.16303548216819763,7448,10262.06637454,,
-4118.30859375,1659408,253,48265.94140625,207413,0.001,2.0668983459472656,85.59,6542,0.29116666316986084,7452,10265.96923476,,
-4094.761962890625,1659592,253,67067.421875,207436,0.001,2.0513336658477783,103.11,6543,0.2615448236465454,7456,10134.471609879998,,
-4216.91259765625,1660000,253,86186.890625,207487,0.001,2.038677930831909,103.52,6544,0.0396762490272522,7459,10133.58221581,,
,1660000,,,,,,,,,,,89.8,10448.199129800001
-4278.94091796875,1660024,253,84778.09375,207490,0.001,2.0379669666290283,104.1,6545,0.2991945147514343,7460,10132.493715919998,,
-3987.1181640625,1660256,253,96668.109375,207519,0.001,2.0280556678771973,106.29,6546,0.14420990645885468,7464,10122.34199271,,
-4200.92724609375,1660456,253,64999.875,207544,0.001,2.019477605819702,107.06,6546,-0.06892413645982742,7468,10129.57794626,,
-4084.488525390625,1660696,253,70469.9453125,207574,0.001,2.0134828090667725,103.06,6547,0.2089385986328125,7472,10142.59655938,,
-4375.34375,1660800,253,56202.14453125,207587,0.001,2.0125222206115723,91.04,6548,-0.10941432416439056,7476,10266.939913050002,,
-3971.552734375,1661112,253,30498.55859375,207626,0.001,2.0175626277923584,85.52,6549,-0.06266476213932037,7480,10335.65490005,,
-4238.7412109375,1661336,253,56277.20703125,207654,0.001,2.0215651988983154,86.71,6550,0.12194476276636124,7484,10310.788410430001,,
-4084.87841796875,1661432,253,62006.9609375,207666,0.001,2.020813465118408,86.62,6550,0.09996049106121063,7488,10320.02433295,,
-4068.708251953125,1661696,253,95520.28125,207699,0.001,2.0060651302337646,85.53,6551,0.12786388397216797,7492,10319.71751824,,
-4081.623046875,1661776,253,64359.52734375,207709,0.001,1.997769832611084,84.94,6552,0.1455848217010498,7496,10333.26921396,,
-4168.1845703125,1662000,253,53316.79296875,207737,0.001,1.9765522480010986,81.57,6552,0.05639699101448059,7500,10564.09289372,,
-4243.32861328125,1662104,253,102427.609375,207750,0.001,1.9693365097045898,80.78,6552,-0.14396598935127258,7504,10576.37800763,,
-3956.28759765625,1662304,253,135205.796875,207775,0.001,1.9646334648132324,80.11,6553,-0.2517109513282776,7508,10578.4081481,,
-4162.30419921875,1662624,253,32889.140625,207815,0.001,1.9695310592651367,79.76,6554,-0.3247290551662445,7512,10577.28957568,,
-4162.310546875,1662880,253,59482.12890625,207847,0.001,1.978452444076538,81.7,6555,-0.030082903802394867,7516,10559.63393462,,
-3800.47216796875,1663008,253,109355.078125,207863,0.001,1.982035756111145,81.06,6555,-0.19905811548233032,7520,10547.88383452,,
-4204.2578125,1663288,253,62466.34375,207898,0.001,1.994936227798462,80.77,6557,0.1064683049917221,7524,10544.47274556,,
-4422.93798828125,1663424,253,71266.8671875,207915,0.001,1.9980818033218384,80.63,6558,-0.03750425949692726,7528,10354.65086258,,
-4248.015625,1663656,253,85861.5,207944,0.001,2.00547456741333,80.37,6558,-0.14832435548305511,7532,10350.73618116,,
-4409.60205078125,1663920,253,58351.21875,207977,0.001,2.0141968727111816,80.3,6560,-0.13068467378616333,7536,10349.741670430001,,
-4237.9375,1664160,253,49656.3125,208007,0.001,2.0248100757598877,71.83,6560,-0.18115246295928955,7540,10480.97203598,,
-4383.84765625,1664312,253,108532.328125,208026,0.001,2.0372586250305176,72.46,6561,-0.4009067714214325,7544,10466.584956159999,,
-3940.38330078125,1664472,253,42183.55859375,208046,0.001,2.052492141723633,71.74,6561,-0.13079258799552917,7548,10467.0175177,,
-4370.5205078125,1664720,253,64493.1328125,208077,0.001,2.06828236579895,62.71,6562,0.01748749613761902,7552,10528.932460040001,,
-3805.6513671875,1664992,253,81658.46875,208111,0.001,2.084686517715454,53.24,6563,-0.15881867706775665,7556,10590.770589689999,,
-3831.13330078125,1665080,253,128857.6328125,208122,0.001,2.086890935897827,52.78,6563,-0.15248626470565796,7560,10592.368404159999,,
-4050.081298828125,1665320,253,86631.65625,208152,0.001,2.0908243656158447,50.57,6564,0.2929645776748657,7564,10596.375364449998,,
-4176.65478515625,1665552,253,32754.66796875,208181,0.001,2.083808183670044,49.71,6565,-0.0036643873900175095,7568,10596.52959025,,
-4332.51806640625,1665800,253,67092.8125,208212,0.001,2.0744733810424805,49.62,6566,0.07686135172843933,7572,10652.928711659999,,
-4139.7109375,1666024,253,34733.41796875,208240,0.001,2.067392110824585,49.31,6567,0.22452086210250854,7576,10655.842916900001,,
-4236.185546875,1666344,253,103718.0625,208280,0.001,2.061737537384033,49.3,6568,0.12609606981277466,7580,10658.13040696,,
-4522.57080078125,1666752,253,62292.140625,208331,0.001,2.061004161834717,49.56,6569,-0.3044506311416626,7584,10686.10106846,,
-4368.31982421875,1667056,253,85487.0078125,208369,0.001,2.063612937927246,49.92,6570,-0.019481122493743896,7588,10664.61797045,,
-4391.81982421875,1667304,253,134366.796875,208400,0.001,2.077857255935669,50.01,6571,0.0229979008436203,7592,10664.380994309997,,
-4284.951171875,1667696,253,128889.421875,208449,0.001,2.093435764312744,52.77,6573,-0.0701807290315628,7596,10354.03677242,,
-4156.607421875,1668104,253,55268.609375,208500,0.001,2.1174514293670654,53.53,6574,-0.10314297676086426,7600,10326.341730700002,,
-4088.76318359375,1668224,253,85520.921875,208515,0.001,2.121696710586548,54.9,6574,-0.16961801052093506,7604,10317.30162714,,
-4295.7685546875,1668368,253,80783.0,208533,0.001,2.1257846355438232,59.55,6575,-0.023722954094409943,7608,10300.40075404,,
