time/episodes,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/n_updates,rollout/ep_len_mean,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef
756,133151.84375,7907.10791015625,-93704.66583934001,0.0003,72,1958,3.0,109,7936,-10.826086044311523,1.3859437704086304
760,133539.21875,7239.818359375,-93705.86508086997,0.0003,72,1962,3.0,109,7952,-10.747512817382812,1.3892452716827393
764,134605.8125,7779.08203125,-93705.74073621003,0.0003,72,1965,3.0,109,7964,-10.776090621948242,1.3917170763015747
768,134890.140625,7152.18212890625,-93706.32727061,0.0003,72,1970,3.0,109,7984,-11.046430587768555,1.3958357572555542
772,134945.875,7166.78955078125,-93705.86315561998,0.0003,73,1974,3.0,109,8000,-11.108156204223633,1.3991267681121826
776,135040.546875,7148.30517578125,-93705.98847739001,0.0003,73,1977,3.0,109,8012,-11.121283531188965,1.4015980958938599
780,135098.34375,7274.3056640625,-93706.29294202,0.0003,73,1982,3.0,109,8032,-11.624266624450684,1.4057071208953857
784,134137.5,8079.8427734375,-93707.32022187997,0.0003,73,1986,3.0,109,8048,-11.418754577636719,1.408997893333435
788,134458.34375,8013.82470703125,-93707.36397515,0.0003,73,1989,3.0,109,8060,-11.515392303466797,1.4114611148834229
792,134606.6875,8115.3994140625,-93708.03451678,0.0003,74,1994,3.0,109,8080,-11.860773086547852,1.4155614376068115
796,134403.03125,8022.57666015625,-93708.24789183999,0.0003,74,1998,3.0,108,8096,-11.771575927734375,1.4188435077667236
800,135537.921875,7262.173828125,-93709.03287985001,0.0003,74,2001,3.0,108,8108,-11.958250045776367,1.4212993383407593
804,135275.3125,7334.255859375,-93708.88367511,0.0003,74,2006,3.0,108,8128,-12.017010688781738,1.4253934621810913
808,135729.65625,7707.90625,-93709.17261668,0.0003,74,2010,3.0,108,8144,-12.231882095336914,1.4286701679229736
812,134890.765625,7687.29150390625,-93709.01529127998,0.0003,74,2013,3.0,108,8156,-12.447903633117676,1.4311211109161377
816,134807.6875,7221.11474609375,-93709.33851269001,0.0003,75,2018,3.0,108,8176,-12.187298774719238,1.4352158308029175
820,136295.953125,7369.98974609375,-93709.10206736,0.0003,75,2022,3.0,108,8192,-12.806209564208984,1.4384777545928955
824,135136.0625,7374.72021484375,-93708.81563427001,0.0003,75,2025,3.0,108,8204,-12.62973690032959,1.4409308433532715
828,136843.53125,7242.4892578125,-93708.54936612998,0.0003,75,2030,3.0,108,8224,-12.897549629211426,1.4450091123580933
832,135167.953125,7977.0078125,-93708.67733704,0.0003,75,2034,3.0,108,8240,-12.527383804321289,1.4482699632644653
836,136014.96875,7709.94091796875,-93708.6199073,0.0003,75,2037,3.0,108,8252,-13.328685760498047,1.4507057666778564
840,137169.3125,7733.25048828125,-93709.33699323,0.0003,76,2042,3.0,108,8272,-13.080497741699219,1.454777479171753
844,137185.546875,7387.31298828125,-93709.94932764002,0.0003,76,2046,3.0,108,8288,-13.189973831176758,1.4580281972885132
848,138290.625,8202.2490234375,-93710.03020466997,0.0003,76,2049,3.0,108,8300,-13.507379531860352,1.4604662656784058
852,137835.75,7800.06103515625,-93709.77685946,0.0003,76,2054,3.0,108,8320,-13.588909149169922,1.4645261764526367
856,136696.34375,7253.9052734375,-93709.97319959,0.0003,76,2058,3.0,108,8336,-13.49199104309082,1.4677762985229492
860,136335.625,7685.400390625,-93709.33823994998,0.0003,77,2061,3.0,108,8348,-13.792720794677734,1.4702075719833374
864,138321.9375,7658.82958984375,-93709.46999829999,0.0003,77,2066,3.0,108,8368,-13.651277542114258,1.4742639064788818
868,137771.9375,7770.78125,-93709.06005029,0.0003,77,2070,3.0,108,8384,-14.349169731140137,1.477499008178711
872,137672.28125,7861.33251953125,-93709.33888500002,0.0003,77,2073,3.0,108,8396,-13.99222183227539,1.4799302816390991
876,139552.625,7435.17236328125,-93709.20223733998,0.0003,77,2078,3.0,108,8416,-13.906665802001953,1.483977198600769
880,138326.6875,7445.75927734375,-93709.16419247,0.0003,78,2082,3.0,107,8432,-14.536458969116211,1.487208604812622
884,137916.421875,7333.36181640625,-93709.23180803,0.0003,78,2085,3.0,107,8444,-14.168342590332031,1.4896403551101685
