train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean
237454912.0,-15.995869636535645,35.8,1.9803014993667603,0.001,1865,248,3527.17724609375,57,7564,130,-99207.78333333001
64392864.0,-16.520366668701172,36.03,2.001030206680298,0.001,1888,252,4221.5390625,58,7656,130,-99210.08333333001
65106328.0,-17.921409606933594,36.38,2.0372745990753174,0.001,1930,256,3687.87451171875,60,7824,130,-99213.58333333001
33168272.0,-16.651180267333984,36.82,2.0607025623321533,0.001,1959,260,3838.75390625,61,7940,129,-99217.98333333
139667216.0,-17.352018356323242,37.06,2.0836575031280518,0.001,1986,264,4544.3125,61,8048,129,-99220.38333333
105579480.0,-17.3617000579834,37.33,2.106241226196289,0.001,2013,268,3527.138671875,62,8156,129,-99223.08333333001
83139168.0,-18.96063995361328,37.47,2.126354694366455,0.001,2035,272,5471.6298828125,63,8244,129,-99224.48333333
145249296.0,-19.457048416137695,37.43,2.144235610961914,0.001,2057,276,3674.34619140625,64,8332,129,-99224.08333333001
80069744.0,-18.948020935058594,36.96,2.1624090671539307,0.001,2078,280,3643.1474609375,64,8416,129,-99219.38333333
79003984.0,-19.37992286682129,36.77,2.1918675899505615,0.001,2111,284,3761.10986328125,65,8548,129,-99217.48333333
51171248.0,-19.321002960205078,36.37,2.213467597961426,0.001,2134,288,4197.2880859375,66,8640,129,-99315.75833333
92228016.0,-18.99410629272461,36.43,2.2296030521392822,0.001,2153,292,3241.482421875,67,8716,129,-99316.35833333
70543808.0,-18.669334411621094,36.47,2.245739698410034,0.001,2172,296,3834.177001953125,67,8792,129,-99316.75833333
200491264.0,-16.73189926147461,34.48,2.2666752338409424,0.001,2194,300,5009.1796875,68,8880,129,-99501.93333333
67626192.0,-18.263370513916016,33.18,2.2948081493377686,0.001,2229,304,4541.8681640625,69,9020,129,-99295.58333333001
216729584.0,-19.1135311126709,31.58,2.3386330604553223,0.001,2280,308,5413.1640625,71,9224,129,-99290.60833333
106698864.0,-20.643566131591797,31.43,2.3669331073760986,0.001,2313,312,5791.3388671875,72,9356,129,-99187.70833333001
67785008.0,-20.946277618408203,32.11,2.421184778213501,0.001,2373,316,5083.5634765625,73,9596,129,-98991.44583333
85932832.0,-22.553163528442383,31.81,2.455188751220703,0.001,2409,320,5673.849609375,74,9740,130,-98988.44583333
72708728.0,-20.74612045288086,30.79,2.481550693511963,0.001,2436,324,5251.71826171875,75,9848,130,-99179.88333333
120260544.0,-22.354721069335938,29.84,2.5253043174743652,0.001,2479,328,4821.3232421875,77,10020,130,-99275.37083333
