train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean
103095024.0,-18.292146682739258,21.76,2.200991630554199,0.001,2106,372,5722.5908203125,58,8528,145,-99403.7
141565728.0,-18.160348892211914,21.51,2.2293453216552734,0.001,2137,376,5336.89892578125,59,8652,145,-99401.2
138573472.0,-19.172157287597656,21.73,2.2450737953186035,0.001,2156,380,5120.3740234375,59,8728,145,-99403.4
99046592.0,-18.614917755126953,21.7,2.2609617710113525,0.001,2175,384,4290.5498046875,60,8804,145,-99403.1
155985088.0,-18.933866500854492,21.68,2.2767274379730225,0.001,2193,388,4464.7451171875,61,8876,145,-99402.9
104233968.0,-18.813379287719727,21.8,2.2952301502227783,0.001,2214,392,4602.1572265625,61,8960,145,-99404.1
90685824.0,-20.553585052490234,25.58,2.488494634628296,0.001,2422,396,6591.5830078125,67,9792,145,-99240.25
36798956.0,-22.694110870361328,27.9,2.582076072692871,0.001,2523,400,7147.19921875,70,10196,145,-99062.7
149900528.0,-23.571271896362305,28.21,2.6273117065429688,0.001,2567,404,7618.9248046875,71,10372,145,-99065.8
69778632.0,-22.746784210205078,28.08,2.6637449264526367,0.001,2603,408,7295.5986328125,72,10516,145,-99064.5
68218800.0,-24.28125,28.91,2.8160271644592285,0.001,2750,412,6627.6181640625,76,11104,145,-98970.625
187800592.0,-24.25299072265625,30.31,2.9357309341430664,0.001,2860,416,6863.8134765625,79,11544,145,-98977.8
81035760.0,-24.529335021972656,31.54,3.003608465194702,0.001,2924,420,7193.740234375,80,11800,145,-98888.525
73721040.0,-24.480411529541016,31.65,3.072237968444824,0.001,2986,424,7501.4453125,82,12048,145,-98889.625
77678704.0,-25.184215545654297,39.44,3.108023166656494,0.001,3021,428,5745.259765625,83,12188,145,-98967.525
58855972.0,-25.20845603942871,39.97,3.2048027515411377,0.001,3109,432,6516.8388671875,85,12540,145,-98771.73333333
131498784.0,-26.725872039794922,41.61,3.251450538635254,0.001,3153,436,7213.48095703125,87,12716,145,-98580.72916666
132094304.0,-26.16710662841797,41.51,3.2956128120422363,0.001,3192,440,6568.5439453125,88,12872,145,-98881.45416666001
69387568.0,-25.662879943847656,41.8,3.32936954498291,0.001,3222,444,7485.0888671875,89,12992,145,-98884.35416666
35637848.0,-28.17750358581543,50.59,3.3634791374206543,0.001,3251,448,6616.29052734375,89,13108,145,-99073.00416666002
136577536.0,-28.05157470703125,51.58,3.4477298259735107,0.001,3320,452,7527.60791015625,91,13384,145,-98980.35416666
61968176.0,-28.021820068359375,53.32,3.5429370403289795,0.001,3397,456,7088.95166015625,93,13692,145,-98996.55416666
69537200.0,-27.856178283691406,55.16,3.619398355484009,0.001,3461,460,6951.3896484375,95,13948,145,-99014.95416666001
56630976.0,-27.227439880371094,56.88,3.6919353008270264,0.001,3522,464,6428.87890625,97,14192,145,-99032.15416666001
64602564.0,-27.788204193115234,58.16,3.772529125213623,0.001,3587,468,8607.185546875,99,14452,145,-99044.95416666001
41580484.0,-27.853534698486328,59.78,3.826305627822876,0.001,3628,472,8276.859375,100,14616,145,-98959.72916666
67460664.0,-28.17609977722168,61.78,3.9150376319885254,0.001,3698,476,8328.78125,102,14896,145,-98979.72916666
