time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/policy_gradient_loss
450560,285,26.47,1578,-170024.29845817,55,5981558680.0,0.0,0.9943156838417053,0.2,540,0.000392471,2808352256.0,1.1920928955078125e-07,-12.719811160862445,0.0003,-0.0006103779080149252
458752,284,22.34,1610,-157809.74786484,56,6295682880.4,0.00013427734375,0.9943798780441284,0.2,550,0.0015719526,3186363904.0,1.1920928955078125e-07,-12.719294499605894,0.0003,-0.0017872486514534103
466944,284,20.63,1642,-146940.98500045,57,6265939326.8,0.0,0.9942026138305664,0.2,560,0.0006753916,3494604032.0,0.0,-12.718834280967712,0.0003,-0.0008583598330005771
475136,283,24.6,1674,-167256.48254241,58,6611846261.2,0.0,0.9939207434654236,0.2,570,0.00042145734,3188162560.0,5.960464477539063e-08,-12.716684702783823,0.0003,-0.0006050460538972402
483328,283,21.39,1707,-164772.45394997002,59,6156645124.4,0.0,0.994085431098938,0.2,580,0.00059402885,2861645312.0,1.1920928955078125e-07,-12.716082176566124,0.0003,-0.0007843711300665746
491520,282,26.86,1740,-182250.55510813996,60,6573836459.6,0.0,0.9939121603965759,0.2,590,0.00048873713,3356486656.0,0.0,-12.716115517169237,0.0003,-0.0008094471228105249
499712,282,23.11,1771,-149269.23282451,61,6340981983.2,0.0,0.9936421513557434,0.2,600,0.00044174696,3338383360.0,0.0,-12.714070484787225,0.0003,-0.0007011538073129486
507904,281,22.23,1803,-153159.8596564,62,6382998240.0,0.0,0.9934784770011902,0.2,610,0.00087362493,3585357824.0,0.0,-12.712085576355458,0.0003,-0.0011746308406145544
516096,281,24.06,1833,-168911.81373875,63,5916380934.4,0.0,0.9932429194450378,0.2,620,0.00069928716,2960816640.0,0.0,-12.71029598340392,0.0003,-0.0008870995588949881
524288,281,21.69,1863,-157921.54183751,64,6362738928.0,0.0,0.9932109117507935,0.2,630,0.0003778721,3389931008.0,0.0,-12.709053944051266,0.0003,-0.0006152227924758336
532480,281,25.21,1893,-169751.03991027,65,6283850894.0,0.0,0.9932317733764648,0.2,640,0.0010519873,3481418496.0,0.0,-12.708970853686333,0.0003,-0.0012481837562518193
540672,281,22.24,1923,-147417.08546677002,66,6173159671.6,1.220703125e-05,0.9930542707443237,0.2,650,0.0010373943,3291088896.0,0.0,-12.708284627646208,0.0003,-0.001186611621415068
548864,281,23.59,1952,-149487.56941368,67,6089543943.2,0.0,0.9927150011062622,0.2,660,0.00061471015,2733694976.0,0.0,-12.705891496688128,0.0003,-0.0007597513347718631
557056,281,22.45,1982,-151686.14525442,68,6270596869.2,0.0,0.9926320314407349,0.2,670,0.0005072523,3295272960.0,0.0,-12.703958135843276,0.0003,-0.0007311860998015618
565248,281,26.32,2011,-167355.64665357998,69,5950915570.0,0.0,0.9925802946090698,0.2,680,0.00030994514,3142297344.0,-1.1920928955078125e-07,-12.703455393761397,0.0003,-0.00046304960233101156
573440,281,22.81,2040,-158851.7408179,70,6277997232.0,1.220703125e-05,0.9923837780952454,0.2,690,0.0010500918,3166147584.0,-1.1920928955078125e-07,-12.702261383086443,0.0003,-0.0012757578489981825
581632,281,25.95,2069,-161071.98041723,71,6299648843.2,0.0,0.9920219779014587,0.2,700,0.00077451766,2861773568.0,0.0,-12.699707768112422,0.0003,-0.0010223354771369485
589824,280,24.53,2100,-157087.6275443,72,5937172419.2,0.0,0.9920633435249329,0.2,710,0.00055819715,3241264640.0,0.0,-12.698184080421925,0.0003,-0.0007562507842521881
598016,280,21.02,2130,-151751.63827151002,73,6065659077.2,0.0,0.9920250773429871,0.2,720,0.0010719524,2807918080.0,0.0,-12.698253639787435,0.0003,-0.0012225847574882209
606208,280,24.44,2159,-159695.85485965997,74,6083334180.4,0.0,0.9920576214790344,0.2,730,0.00072948483,3163223296.0,1.1920928955078125e-07,-12.698236960172654,0.0003,-0.000960462708826526
614400,280,21.49,2188,-156987.60613846,75,5827587419.6,0.0,0.9919878840446472,0.2,740,0.00039340853,3083111424.0,0.0,-12.698059433698655,0.0003,-0.0005360216531698825
622592,280,19.42,2218,-147771.16134998,76,6469981337.6,0.0,0.991489827632904,0.2,750,0.000851943,3381355008.0,0.0,-12.695447947084904,0.0003,-0.0009690980023151496
630784,280,22.66,2247,-148093.93684317998,77,6118194189.2,0.0,0.9913707375526428,0.2,760,0.0010729748,3225729792.0,0.0,-12.692628429085016,0.0003,-0.001251699757995084
638976,280,24.64,2277,-160057.0152456,78,5660454184.8,0.0,0.9912415742874146,0.2,770,0.00021303118,3154149120.0,0.0,-12.691513368487358,0.0003,-0.000340385996241821
647168,280,22.76,2306,-141209.37358474,79,5849514636.4,0.0,0.9912158250808716,0.2,780,0.00034789724,3300309504.0,0.0,-12.690806730091571,0.0003,-0.000585058181968634
