train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/ent_coef_loss,train/learning_rate
17934.748046875,527.65,1367080,1936209.375,8.829529762268066,12388,-53119.471071420005,110,1836,341744,-6.722444534301758,0.0001
17440.9296875,521.54,1369896,6417015.0,9.008162498474121,12413,-53829.13870129,110,1840,342448,-5.107534408569336,0.0001
17625.08203125,521.54,1370000,2381524.75,9.013336181640625,12414,-53829.13870129,110,1840,342474,-3.7675743103027344,0.0001
16752.2734375,501.25,1371512,22359744.0,9.08773422241211,12427,-55595.595129860005,110,1844,342852,-2.941063404083252,0.0001
15682.5791015625,505.42,1374800,2032385.5,9.239509582519531,12455,-55168.68405843,110,1848,343674,-3.3550384044647217,0.0001
13636.064453125,505.86,1378560,2713014.25,9.381312370300293,12489,-54931.48019479,110,1852,344614,-1.8717007637023926,0.0001
14960.54296875,503.24,1380000,14390674.0,9.434026718139648,12503,-55788.18269479,110,1853,344974,-1.7183512449264526,0.0001
16240.4111328125,509.25,1382560,1938379.75,9.550562858581543,12525,-56851.67269479,110,1856,345614,-2.660740613937378,0.0001
21071.8203125,524.55,1384092,2178056.75,9.613889694213867,12538,-57960.48120129001,110,1860,345997,-3.0763919353485107,0.0001
19039.0078125,511.61,1386216,5057088.0,9.712610244750977,12558,-63233.03977271,110,1864,346528,-0.9514431953430176,0.0001
16974.9296875,518.06,1388320,2324376.5,9.79758071899414,12577,-62220.73435064,110,1868,347054,-2.179555654525757,0.0001
19479.470703125,526.47,1390000,4218221.5,9.87083911895752,12592,-61229.14685064,110,1870,347474,-1.7269480228424072,0.0001
20575.33203125,522.74,1390300,1994522.0,9.888691902160645,12595,-61243.17207791,110,1872,347549,-1.766005516052246,0.0001
18277.27734375,539.74,1394300,2617679.0,10.044754028320312,12632,-58158.90769479,110,1876,348549,0.2960200905799866,0.0001
20132.837890625,544.38,1396588,16981152.0,10.062906265258789,12654,-58269.507922070006,110,1880,349121,0.12589013576507568,0.0001
18838.5703125,557.91,1400000,2761491.0,10.141477584838867,12685,-58189.60792207,110,1883,349974,-1.220218300819397,0.0001
16592.1015625,553.88,1400256,1657424.25,10.151403427124023,12688,-59085.05428571001,110,1884,350038,-1.4416046142578125,0.0001
20973.265625,570.05,1404240,1424087.75,10.132349014282227,12723,-55667.77538959999,110,1888,351034,0.5820716619491577,0.0001
21002.849609375,579.11,1404684,2156048.75,10.116974830627441,12727,-54548.95879869,110,1892,351145,-0.07773536443710327,0.0001
20432.6953125,553.68,1404992,4216414.0,10.113548278808594,12730,-56759.13844155001,110,1896,351222,-0.6712232828140259,0.0001
18999.375,562.57,1408256,1264872.75,9.995745658874512,12763,-55581.420649340005,110,1900,352038,0.10283172130584717,0.0001
19759.94140625,555.47,1410000,1857502.0,9.928053855895996,12782,-57072.58042207001,110,1903,352474,0.9321749806404114,0.0001
19515.8828125,551.84,1410804,8833736.0,9.869006156921387,12789,-58065.12042207,110,1904,352675,1.377177119255066,0.0001
19610.935546875,566.62,1413364,2147373.5,9.750812530517578,12812,-56073.20905843,110,1908,353315,0.4230502247810364,0.0001
21309.408203125,565.55,1415784,2889218.75,9.643774032592773,12834,-56273.27045453999,110,1912,353920,-0.9408801794052124,0.0001
23403.794921875,584.04,1417840,2274419.75,9.539079666137695,12852,-55292.43295453999,110,1916,354434,1.4644689559936523,0.0001
22284.76953125,592.98,1420000,1332988.0,9.565601348876953,12871,-53100.373668830005,110,1919,354974,0.4145657420158386,0.0001
23283.01171875,601.23,1421536,6811947.0,9.5355224609375,12885,-52007.91152597,110,1920,355358,-0.2630627453327179,0.0001
23502.84375,607.46,1423848,1402084.375,9.638908386230469,12905,-50813.77402596999,110,1924,355936,1.6552118062973022,0.0001
21856.287109375,613.24,1424828,1484164.75,9.542778968811035,12914,-50718.378798699996,110,1928,356181,2.047344207763672,0.0001
26476.552734375,595.63,1425640,2601377.5,9.4348726272583,12921,-51901.17795453999,110,1932,356384,3.8032078742980957,0.0001
23224.8046875,595.07,1427752,2580997.75,9.289900779724121,12940,-51900.48295453999,110,1936,356912,0.6528823971748352,0.0001
23231.16015625,606.08,1430000,2051923.25,9.26768970489502,12961,-51910.97545453999,110,1939,357474,-1.3576061725616455,0.0001
20523.607421875,606.08,1431752,1952365.75,9.347253799438477,12976,-52014.0775974,110,1940,357912,-1.7686498165130615,0.0001
21732.240234375,623.94,1434116,2013705.125,9.410164833068848,12997,-50025.14116883001,110,1944,358503,0.7849392294883728,0.0001
23308.07421875,620.13,1437596,4507023.0,9.302072525024414,13028,-51325.93974026,110,1948,359373,-0.3093557357788086,0.0001
19587.88671875,606.95,1438796,2889116.0,9.290932655334473,13039,-51613.698603900004,110,1952,359673,0.6903672218322754,0.0001
26654.82421875,600.3,1440000,5781272.0,9.296265602111816,13050,-51707.393603900004,110,1954,359974,1.2635414600372314,0.0001
25947.71484375,595.46,1442032,4208345.5,9.67494010925293,13069,-53803.9436039,110,1956,360482,-16.179443359375,0.0001
22047.49609375,592.57,1443416,1511160.375,10.005187034606934,13082,-54307.57090548,110,1960,360828,-12.202092170715332,0.0001
24398.494140625,597.67,1444908,5297537.0,10.223623275756836,13097,-54715.253405480005,110,1964,361201,-7.911750316619873,0.0001
23828.9609375,592.76,1447080,2338542.0,10.486516952514648,13117,-56112.66204184001,110,1968,361744,-7.948615550994873,0.0001
26435.38671875,581.4,1449168,20991084.0,10.716572761535645,13136,-57284.54681457,110,1972,362266,-5.5877227783203125,0.0001
22436.71484375,577.77,1450000,8456647.0,10.787524223327637,13145,-58480.63226912001,110,1974,362474,-6.478555679321289,0.0001
