time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1741,66.8125,497,3.3250074915613936e-10,112,0.02,0.05,-1963583.15893425,867324,7518780.5
1740,66.8125,500,3.33071598079826e-10,113,0.02,0.05,-1960365.1040467499,871600,7505893.5
1740,5.125,500,3.7843514633095765e-07,114,0.02,0.05,-85253.855036875,871928,6606.15185546875
1740,4.875,501,3.363779342180351e-06,115,0.02,0.05,-83634.23946425001,872240,743.2116088867188
1740,67.1875,503,3.3306757352136174e-10,116,0.02,0.05,-1959987.984009,876540,7505984.0
1739,5.25,504,2.2071711214266543e-07,117,0.02,0.05,-87750.3783736875,876876,11326.7158203125
1739,4.8125,504,2.0342477000667714e-06,118,0.02,0.05,-83837.6494443125,877184,1228.95556640625
1739,5.0,504,3.737697852557176e-06,119,0.02,0.05,-83683.2010043125,877504,668.8609008789062
1738,67.0625,507,3.3295552426260144e-10,120,0.02,0.05,-1960658.894092875,881796,7508510.0
1738,5.0,507,7.451244982803473e-06,121,0.02,0.05,-83273.50007600001,882116,335.5143737792969
1738,4.6875,507,1.8765069853543537e-06,122,0.02,0.05,-83937.5038270625,882416,1332.2625732421875
1738,5.0,507,4.247311608196469e-06,123,0.02,0.05,-83462.25305775,882736,588.6076049804688
1737,4.8125,508,2.0529703306237934e-06,124,0.02,0.05,-83862.5082933125,883044,1217.7476806640625
1737,5.0,508,2.600527579943446e-07,125,0.02,0.05,-85901.1066605625,883364,9613.43359375
1737,5.0,508,2.602789891170687e-06,126,0.02,0.05,-83711.0756375,883684,960.5077514648438
1736,4.9375,508,2.1207497411523946e-06,127,0.02,0.05,-83716.34568881251,884000,1178.828369140625
1736,5.0,509,1.488191082898993e-05,128,0.02,0.05,-83414.5849080625,884320,167.9891815185547
1736,5.0,509,2.272304016059934e-07,129,0.02,0.05,-86162.50721887499,884640,11002.048828125
1736,67.1875,511,3.3328262372123163e-10,130,0.02,0.05,-1958638.5276889375,888940,7501141.0
1736,4.9375,512,2.176922862417996e-06,131,0.02,0.05,-83670.4102714375,889256,1148.409912109375
1736,4.875,512,3.263221515226178e-06,132,0.02,0.05,-83550.5553903125,889568,766.1140747070312
1735,4.9375,512,2.17205410990573e-06,133,0.02,0.05,-83676.03347543749,889884,1150.9842529296875
1735,4.9375,512,2.1762875803688075e-06,134,0.02,0.05,-83697.27320337499,890200,1148.7452392578125
1735,5.0,513,0.0024645538069307804,135,0.02,0.05,-83411.5675130625,890520,1.014382243156433
1735,4.9375,513,2.1569951513811247e-06,136,0.02,0.05,-83753.28413300001,890836,1159.019775390625
1735,5.0,513,0.0002852283651009202,137,0.02,0.05,-83414.79647375,891156,8.764906883239746
1735,5.0,513,1.086679822037695e-05,138,0.02,0.05,-83468.87278256251,891476,230.05856323242188
1734,5.0,514,0.006500805262476206,139,0.02,0.05,-83411.41131775,891796,0.38456761837005615
1734,5.0,514,2.1454270608955994e-05,140,0.02,0.05,-83381.68543593748,892116,116.52691650390625
1734,4.875,514,5.0130583986174315e-06,141,0.02,0.05,-83508.35488693751,892428,498.6975402832031
1734,5.0,514,0.0007614679634571075,142,0.02,0.05,-83410.6336584375,892748,3.2831318378448486
