time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/policy_objective,train/learning_rate,train/std,train/explained_variance,train/kl_divergence_loss,train/is_line_search_success,train/value_loss
1490944,-76811.15738455999,255,5825,607.79,91,90,0.01833534799516201,0.0001,0.8962926864624023,5.960464477539063e-08,0.006341866217553616,1.0,60914899.10107422
1507328,-78576.12940837,255,5890,587.39,92,91,0.014982111752033234,0.0001,0.8919727206230164,0.0,0.006199564319103956,1.0,61587335.08383789
1523712,-81000.17083333,255,5954,548.86,93,92,0.018380122259259224,0.0001,0.8919901251792908,0.0,0.006660939659923315,1.0,75853511.76408692
1540096,-76041.30666666,255,6019,576.89,94,93,0.016553640365600586,0.0001,0.8922430872917175,0.0,0.006619201507419348,1.0,86912545.86796875
1556480,-79994.0440909,255,6084,548.72,95,94,0.016600172966718674,0.0001,0.8909424543380737,0.0,0.005838001146912575,1.0,41296595.01077881
1572864,-71947.48214645,255,6149,638.46,96,95,0.015075459145009518,0.0001,0.8910948634147644,0.0,0.006025610025972128,1.0,72934498.44449463
1589248,-65936.79464645,255,6212,685.04,97,96,0.016857903450727463,0.0001,0.892098069190979,0.0,0.006229800172150135,1.0,38302066.77355957
1605632,-65440.38131311999,255,6276,695.72,98,97,0.016478583216667175,0.0001,0.8895294070243835,0.0,0.006648370996117592,1.0,38468364.127075195
1622016,-62203.31940169,255,6340,687.7,99,98,0.019253652542829514,0.0001,0.8912703990936279,0.0,0.005893099121749401,1.0,41223388.519995116
1638400,-66927.18372710001,255,6404,673.21,100,99,0.014835737645626068,0.0001,0.8867448568344116,0.0,0.006259556859731674,1.0,70289549.95314941
1654784,-72804.54039377,255,6468,608.27,101,100,0.018435128033161163,0.0001,0.883152961730957,5.960464477539063e-08,0.007493465207517147,1.0,55682942.40402832
1671168,-77109.23094933,255,6530,587.27,102,101,0.0023302119225263596,0.0001,0.8834905028343201,0.0,0.007766484282910824,1.0,67035406.40715332
1687552,-71810.32376985,256,6591,587.22,103,102,0.020467609167099,0.0001,0.8843659162521362,0.0,0.00667011272162199,1.0,73354157.66591796
1703936,-68547.32526252,256,6652,597.47,104,103,0.016020003706216812,0.0001,0.8842216730117798,0.0,0.006980261765420437,1.0,55071611.485839844
1720320,-67373.56867522,256,6713,624.54,105,104,0.01729718968272209,0.0001,0.8786172866821289,0.0,0.006801493000239134,1.0,44463366.79970703
1736704,-66085.75010685,256,6776,627.11,106,105,0.0144649688154459,0.0001,0.8825437426567078,0.0,0.005537073593586683,1.0,58679488.845458984
1753088,-66792.30920941,256,6839,637.67,107,106,0.019059062004089355,0.0001,0.8841322660446167,0.0,0.006887129507958889,1.0,70263677.27871093
1769472,-68626.44159035999,256,6902,632.58,108,107,0.014179088175296783,0.0001,0.8791925311088562,0.0,0.0038674320094287395,1.0,50016804.74711914
1785856,-65989.64567766,256,6965,641.11,109,108,0.016392378136515617,0.0001,0.881178081035614,5.960464477539063e-08,0.006623703986406326,1.0,50084040.5302124
1802240,-63786.932857140004,256,7026,671.33,110,109,0.017985481768846512,0.0001,0.8787287473678589,0.0,0.006422414910048246,1.0,47166559.402368166
1818624,-60869.66202381,256,7089,698.4,111,110,0.018235083669424057,0.0001,0.8791071772575378,0.0,0.0059314267709851265,1.0,41257106.45270996
1835008,-61865.51083334,256,7152,686.07,112,111,0.01664011925458908,0.0001,0.8777137994766235,0.0,0.005683295428752899,1.0,52863854.193798825
1851392,-66142.82833334,256,7214,670.44,113,112,0.017920542508363724,0.0001,0.8771526217460632,0.0,0.004832555539906025,1.0,55296283.33964844
1867776,-71757.00333333999,256,7277,623.27,114,113,0.02239070273935795,0.0001,0.8767387270927429,1.1920928955078125e-07,0.007137610577046871,1.0,55786341.50966797
1884160,-73803.63166667,256,7340,600.79,115,114,0.01789478026330471,0.0001,0.8822237849235535,0.0,0.0070276083424687386,1.0,77403768.55444336
1900544,-70499.57,256,7402,611.48,116,115,0.01315292902290821,0.0001,0.8828543424606323,0.0,0.006785785313695669,1.0,61346788.72351074
1916928,-71048.96166666999,256,7464,605.45,117,116,0.01500780787318945,0.0001,0.8905584216117859,0.0,0.005895377602428198,1.0,41194199.76461182
1933312,-68879.95,256,7526,648.78,118,117,0.0194692499935627,0.0001,0.8914264440536499,0.0,0.006637576036155224,1.0,70345638.45197754
1949696,-71406.43095238,256,7587,661.46,119,118,0.019410114735364914,0.0001,0.8945660591125488,0.0,0.006395517848432064,1.0,53096534.650268555
1966080,-75988.83880952999,256,7651,660.72,120,119,0.019214224070310593,0.0001,0.8921382427215576,0.0,0.006301415152847767,1.0,67428988.22944336
1982464,-68673.18702382,257,7711,694.23,121,120,0.01863982528448105,0.0001,0.891497790813446,0.0,0.0055494727566838264,1.0,49924894.60324707
1998848,-63740.823690490004,257,7772,703.95,122,121,0.012754619121551514,0.0001,0.8880075216293335,1.1920928955078125e-07,0.005752990022301674,1.0,35620036.65164795
2015232,-58136.84273811,257,7834,723.3,123,122,0.016190607100725174,0.0001,0.8882326483726501,0.0,0.006276816129684448,1.0,44277553.37712403
