train/entropy_loss,rollout/ep_len_mean,train/policy_loss,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/std,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/explained_variance,train/n_updates
-14.571887016296387,34.37,-137503.4375,11800,420,236000,561,1.2231494188308716,153450928.0,0.0007,-118424.10362125002,5.960464477539063e-08,11799
-14.574490547180176,30.52,-600946.1875,11900,420,238000,566,1.2234476804733276,3086488576.0,0.0007,-150323.13867127002,0.0,11899
-14.582015991210938,32.59,-110.4789047241211,12000,419,240000,571,1.224837064743042,4295025.5,0.0007,-152999.40407172,0.0,11999
-14.616101264953613,32.97,-182592.09375,12100,420,242000,576,1.2292965650558472,1002741248.0,0.0007,-107871.34992723001,0.0,12099
-14.650286674499512,31.07,-23905.94140625,12200,420,244000,580,1.2344869375228882,19706204.0,0.0007,-121553.12313033002,1.1920928955078125e-07,12199
-14.677618980407715,38.97,-71601.8984375,12300,419,246000,585,1.2380410432815552,161896592.0,0.0007,-132744.72104357,0.0,12299
-14.66825008392334,44.83,-277123.96875,12400,419,248000,590,1.2368289232254028,1928118656.0,0.0007,-138882.30108434998,5.960464477539063e-08,12399
-14.675683975219727,43.42,-443720.65625,12500,419,250000,595,1.2376700639724731,2829439744.0,0.0007,-150804.54608384997,1.7881393432617188e-07,12499
-14.699145317077637,38.25,-305341.15625,12600,419,252000,600,1.2411600351333618,1577864448.0,0.0007,-154905.26188889,0.0,12599
-14.721968650817871,45.81,-347541.84375,12700,419,254000,605,1.2442830801010132,2434309888.0,0.0007,-156324.95713333,0.0,12699
-14.691408157348633,45.77,-1338.1331787109375,12800,419,256000,610,1.2397902011871338,11795.8203125,0.0007,-148507.61047931,0.0,12799
-14.702786445617676,33.29,18131.025390625,12900,419,258000,615,1.2411772012710571,3046472.75,0.0007,-110425.69603006002,0.0,12899
-14.694299697875977,32.2,-345641.875,13000,419,260000,620,1.2406675815582275,2413837056.0,0.0007,-111123.24193434998,0.0,12999
-14.679781913757324,31.29,-48102.93359375,13100,419,262000,625,1.238424301147461,98815600.0,0.0007,-108836.17342169998,0.0,13099
-14.734549522399902,31.87,-66885.7734375,13200,418,264000,630,1.2458420991897583,50703308.0,0.0007,-111312.05937763,0.0,13199
-14.742056846618652,32.42,-74555.0390625,13300,418,266000,635,1.2473938465118408,60289460.0,0.0007,-108696.66127555999,0.0,13299
-14.73642635345459,27.48,-1118.5045166015625,13400,418,268000,640,1.2466378211975098,7008.75146484375,0.0007,-106878.52736651,0.0,13399
-14.7598295211792,31.32,-83885.703125,13500,418,270000,645,1.2501264810562134,90101000.0,0.0007,-112790.66868138,1.1920928955078125e-07,13499
-14.791953086853027,31.91,-242786.359375,13600,418,272000,650,1.2541207075119019,1127508608.0,0.0007,-120132.27159881999,0.0,13599
-14.826632499694824,29.11,-249737.25,13700,418,274000,655,1.2596155405044556,1928204672.0,0.0007,-121342.82668311999,0.0,13699
-14.864114761352539,26.86,-6672.79248046875,13800,418,276000,660,1.2651593685150146,16396002.0,0.0007,-106413.62954503,-1.1920928955078125e-07,13799
-14.908256530761719,33.16,-26832.759765625,13900,418,278000,665,1.2712254524230957,20367952.0,0.0007,-120513.45792048,0.0,13899
-14.903129577636719,36.13,-174075.671875,14000,417,280000,670,1.270964503288269,1485662464.0,0.0007,-122965.74250033,0.0,13999
-14.928560256958008,31.67,-22856.458984375,14100,417,282000,674,1.274749994277954,45419404.0,0.0007,-109708.24572441999,0.0,14099
