train/policy_loss,time/iterations,time/total_timesteps,train/entropy_loss,train/value_loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/learning_rate,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/std
-16827.72265625,1500,120000,-13.96231746673584,124892440.0,444,-39278.61904762,269,0.00244,-0.00031375885009765625,753.73,1499,2.486273765563965
-7.135711669921875,1600,128000,-14.020578384399414,497.27471923828125,472,-46712.34988095,270,0.00244,0.3767528533935547,697.63,1599,2.50970196723938
-18.37190818786621,1700,136000,-14.008715629577637,491.778076171875,501,-47136.48821428,271,0.00244,0.0,692.07,1699,2.499800682067871
-2.286919593811035,1800,144000,-14.467494010925293,0.02835124544799328,531,-48677.43821428,271,0.00244,0.0,683.27,1799,2.70534086227417
-50184.546875,1900,152000,-14.986371040344238,313504224.0,561,-55422.36321428,270,0.00244,8.821487426757812e-06,639.57,1899,2.9490017890930176
13537.140625,2000,160000,-15.012600898742676,6520989.0,590,-69063.7231277,270,0.00244,-1.1920928955078125e-07,484.64,1999,2.9615988731384277
14315.1845703125,2100,168000,-14.922808647155762,6501582.5,620,-78735.48527057002,270,0.00244,1.7881393432617188e-07,340.82,2099,2.9191322326660156
84.81657409667969,2200,176000,-14.936859130859375,535.8115844726562,650,-84510.71789877002,270,0.00244,0.0,276.45,2199,2.928316831588745
1.415510654449463,2300,184000,-15.260278701782227,0.010377462022006512,681,-80911.94289877001,269,0.00244,0.0,298.94,2299,3.0933289527893066
-40.001373291015625,2400,192000,-15.578453063964844,7.905683994293213,712,-76391.54289877,269,0.00244,-0.00017642974853515625,357.7,2399,3.256873607635498
-1.1272543668746948,2500,200000,-16.102508544921875,0.005676563363522291,742,-74195.81381867999,269,0.00244,0.0,395.47,2499,3.561915874481201
9072.8349609375,2600,208000,-16.187721252441406,4955301.0,772,-70679.58048535,269,0.00244,5.8531761169433594e-05,442.05,2599,3.6046485900878906
7.241509914398193,2700,216000,-16.25217628479004,396.2519226074219,802,-66303.44715202,269,0.00244,0.5110139846801758,501.53,2699,3.639991283416748
-51.98248291015625,2800,224000,-16.324604034423828,479.474365234375,832,-58868.62215202,269,0.00244,0.2344437837600708,586.52,2799,3.6751322746276855
0.79358971118927,2900,232000,-16.32185173034668,0.1655440628528595,862,-51787.91298535,269,0.00244,0.252951979637146,655.64,2899,3.6860742568969727
-1.2003358602523804,3000,240000,-16.566513061523438,0.006270145066082478,892,-45636.547509150005,268,0.00244,0.0,715.27,2999,3.8405861854553223
-0.06490230560302734,3100,248000,-17.20721435546875,1.613219501450658e-05,923,-40706.4376282,268,0.00244,1.2755393981933594e-05,768.85,3099,4.2735395431518555
122.3182373046875,3200,256000,-17.709144592285156,271.2066345214844,954,-37021.2625,268,0.00244,5.960464477539063e-08,809.83,3199,4.640644550323486
33.59757614135742,3300,264000,-17.8354434967041,493.4886779785156,982,-34299.14333333,268,0.00244,1.1920928955078125e-07,827.82,3299,4.741610527038574
-44.71712112426758,3400,272000,-17.90656852722168,7.423707485198975,1013,-33754.53333333,268,0.00244,0.0,843.03,3399,4.790220260620117
2.4220244884490967,3500,280000,-18.177936553955078,0.020653871819376945,1043,-36209.638333330004,268,0.00244,0.0,825.48,3499,5.013840675354004
-0.4699764847755432,3600,288000,-18.568641662597656,0.0007547438144683838,1073,-35263.62166666,268,0.00244,0.0,834.71,3599,5.356837272644043
-215998.484375,3700,296000,-19.011432647705078,700110272.0,1104,-35678.77166666,268,0.00244,0.0,848.42,3699,5.755007743835449
-60.55015182495117,3800,304000,-19.07291030883789,209.9917755126953,1131,-41095.98658729,268,0.00244,0.8459842801094055,801.41,3799,5.8186750411987305
-64524.73046875,3900,312000,-19.031757354736328,391405408.0,1160,-49339.21539682,268,0.00244,0.0,735.97,3899,5.78253173828125
-97466.8046875,4000,320000,-18.84193992614746,443378496.0,1188,-50852.3735137,269,0.00244,0.0001226663589477539,723.02,3999,5.608843803405762
-408.9254455566406,4100,328000,-18.808927536010742,1022.3615112304688,1216,-52394.01041847001,269,0.00244,0.0,713.06,4099,5.581416130065918
62.10837936401367,4200,336000,-18.851093292236328,466.9411315917969,1244,-54796.44077562001,269,0.00244,0.18921566009521484,686.55,4199,5.627994060516357
