train/critic_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef,rollout/ep_rew_mean,train/ent_coef_loss,time/fps,time/episodes,time/time_elapsed,train/actor_loss,eval/mean_ep_length,eval/mean_reward
17608.865234375,369.55,109904,0.001,13725,1.9025614261627197,-2337.8727056700004,0.25200599431991577,278,328,394,-1090.217041015625,,
11828.203125,369.55,110000,0.001,13737,1.8996859788894653,-2337.8727056700004,0.18442469835281372,278,328,394,-1104.886962890625,,
,,110000,,,,,,,,,,381.2,1122.9189782
151379.90625,363.42,110864,0.001,13845,1.8675340414047241,-2434.0013181800005,0.5145153999328613,276,332,400,-1024.7103271484375,,
17479.28515625,358.81,111568,0.001,13933,1.8070844411849976,-2651.3983335599996,0.5710736513137817,276,336,403,-986.1380615234375,,
99678.640625,367.19,113112,0.001,14126,1.6758804321289062,-2790.31181717,0.2581380605697632,277,340,407,-958.165771484375,,
23942.052734375,348.18,114344,0.001,14280,1.6398935317993164,-2303.5900186400004,-0.22325937449932098,277,344,411,-939.5747680664062,,
11828.1650390625,339.88,114712,0.001,14326,1.6601327657699585,-2366.4262127,-0.2828526198863983,277,348,413,-1026.105224609375,,
97427.15625,338.36,116544,0.001,14555,1.808955192565918,-2114.03171458,-0.32704824209213257,278,352,418,-1060.142822265625,,
161342.0625,338.98,117184,0.001,14635,1.8620110750198364,-2202.47645457,-0.36457568407058716,278,356,420,-1094.81787109375,,
392035.625,336.21,117832,0.001,14716,1.9085590839385986,-2346.44761006,0.055539414286613464,278,360,422,-1092.242919921875,,
19172.91015625,336.59,120000,0.001,14987,1.905959963798523,-2308.6213026,0.11885550618171692,279,361,429,-1009.9963989257812,,
,,120000,,,,,,,,,,438.8,-3710.3360088
10316.216796875,351.37,121424,0.001,15165,1.9156250953674316,-2548.3737727699995,0.323560893535614,277,364,438,-993.0516357421875,,
334982.5,352.95,122624,0.001,15315,1.8970788717269897,-2360.4780333000003,0.21635158360004425,277,368,442,-946.506591796875,,
18453.1640625,353.94,123000,0.001,15362,1.882824182510376,-2092.39594177,0.18176892399787903,277,372,443,-938.8822021484375,,
289458.3125,351.0,124184,0.001,15510,1.8437026739120483,-2070.5741089999997,0.5219221115112305,277,376,446,-992.704345703125,,
18883.87890625,336.9,125320,0.001,15652,1.7466727495193481,-2752.9481186300004,0.2498513162136078,278,380,450,-1015.3468017578125,,
125385.5078125,324.99,126488,0.001,15798,1.770635962486267,-2270.9379557599996,-0.14529797434806824,278,384,454,-969.600830078125,,
253290.140625,321.46,128008,0.001,15988,1.8613969087600708,-2586.1165024299994,-0.37961071729660034,278,388,459,-967.4739990234375,,
12625.82421875,317.9,129728,0.001,16203,1.8613859415054321,-2685.7166836199995,0.342151015996933,279,392,464,-907.177490234375,,
33737.0625,324.6,130000,0.001,16237,1.8418235778808594,-2859.0405327099998,0.2118636965751648,279,394,465,-933.2047729492188,,
,,130000,,,,,,,,,,615.4,-30350.519823000002
30672.35546875,317.53,130576,0.001,16309,1.8125910758972168,-3051.6468773699994,0.30066609382629395,276,396,472,-994.4405517578125,,
149561.0625,308.62,132496,0.001,16549,1.7490861415863037,-3098.6271216799996,0.23927024006843567,276,400,479,-975.7454833984375,,
39841.4921875,315.09,133616,0.001,16689,1.7411243915557861,-3148.90106878,0.1069212332367897,276,404,482,-1038.525146484375,,
17177.28125,320.26,136048,0.001,16993,1.7163492441177368,-3007.4678908100004,0.12410522997379303,277,408,490,-1009.4694213867188,,
112523.140625,339.03,137336,0.001,17154,1.745079755783081,-2841.6208933299995,-0.017427891492843628,277,412,494,-1004.431396484375,,
