time/time_elapsed,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,time/episodes,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
73,0.08205541223287582,0.001,296,15760.8837890625,64,2720,-17209.850662093748,21864,300.78125,364.6160583496094,1.544584035873413,,
77,0.07939765602350235,0.001,299,12587.8740234375,68,2878,-16353.947731499999,23128,294.9117647058824,406.0796203613281,1.5569226741790771,,
79,-0.09037476778030396,0.001,301,156629.9375,72,2990,-15781.876842055553,24024,305.0138888888889,308.17523193359375,1.5729912519454956,,
84,0.08684469759464264,0.001,304,107259.0,76,3195,-15486.714804921052,25664,313.5,250.2466278076172,1.577796459197998,,
91,0.09870979934930801,0.001,306,14144.720703125,80,3486,-15063.680911425,27992,315.3875,212.35336303710938,1.567615032196045,,
97,-0.12108124792575836,0.001,308,12057.6171875,83,3737,-14969.345848626508,30000,328.1927710843373,152.76907348632812,1.56868314743042,,
,,,,,,,,30000,,,,-49496.5709796,845.6
104,-0.4660167992115021,0.001,289,70215.5703125,84,3760,-14867.139840964286,30184,326.3452380952381,154.8458251953125,1.570871114730835,,
112,-0.0580877959728241,0.001,293,9844.853515625,88,4106,-14136.523198249999,32952,335.09090909090907,139.3505401611328,1.6201850175857544,,
119,0.12621070444583893,0.001,296,84976.453125,92,4424,-14364.817660913044,35496,351.29347826086956,105.85187530517578,1.6116939783096313,,
126,-0.09721866250038147,0.001,298,11058.37109375,96,4711,-14170.813583864583,37792,366.0625,81.13134765625,1.5930508375167847,,
133,-0.03991454094648361,0.001,300,71101.3515625,99,4987,-13821.073378040404,40000,373.07070707070704,66.27957153320312,1.603176236152649,,
,,,,,,,,40000,,,,-8469.761106599999,619.0
139,-0.04199612885713577,0.001,290,175352.25,100,5052,-13745.157450919998,40520,371.19,145.0626220703125,1.6061015129089355,,
152,0.2683059275150299,0.001,294,137789.71875,104,5604,-13827.91545427,44936,402.56,-4.289173126220703,1.5808382034301758,,
156,-0.017744317650794983,0.001,295,18989.82421875,108,5786,-13475.7697168,46392,422.28,42.115631103515625,1.572982668876648,,
157,0.045094382017850876,0.001,296,21487.140625,112,5810,-12934.95013002,46584,428.22,-44.238616943359375,1.57160484790802,,
160,0.26580068469047546,0.001,297,31966.52734375,116,5959,-12190.274460159999,47776,434.47,-47.58662796020508,1.548622965812683,,
165,0.15318375825881958,0.001,298,7040.1142578125,120,6146,-11982.730440140002,49272,432.79,-84.19745635986328,1.5260534286499023,,
167,0.10325323045253754,0.001,298,13712.70703125,121,6237,-11466.53227984,50000,424.54,-94.75532531738281,1.51142418384552,,
,,,,,,,,50000,,,,-21987.8344948,646.6
174,0.43768101930618286,0.001,291,45341.68359375,124,6357,-11034.059115079997,50960,423.65,-60.395729064941406,1.4977434873580933,,
179,0.2664654850959778,0.001,293,79211.3046875,128,6553,-10477.328231889998,52528,421.34,-107.17250061035156,1.4775867462158203,,
181,-0.0761108547449112,0.001,293,14367.306640625,132,6660,-9765.61482383,53384,421.76,-55.75651931762695,1.4672927856445312,,
189,0.05439000576734543,0.001,295,10930.455078125,136,6999,-8935.11006748,56096,422.61,-89.37869262695312,1.4407988786697388,,
198,-0.0009174346923828125,0.001,297,10731.8525390625,140,7382,-8612.23774807,59160,435.05,-160.03587341308594,1.4324302673339844,,
201,-0.04772656410932541,0.001,298,11880.69921875,142,7487,-8529.52812407,60000,445.47,-88.0746841430664,1.4308140277862549,,
,,,,,,,,60000,,,,-5221.4238067999995,450.0
206,0.0007778666913509369,0.001,293,21438.82421875,144,7571,-8393.63414746,60672,446.19,-132.92062377929688,1.4393216371536255,,
214,0.05333268269896507,0.001,295,10219.916015625,148,7907,-8088.78218474,63360,450.11,-170.28985595703125,1.4619157314300537,,
219,0.22085919976234436,0.001,296,9848.3525390625,152,8129,-7404.742627389999,65136,453.53,-203.9215545654297,1.4320498704910278,,
226,0.043014515191316605,0.001,297,105285.6640625,156,8387,-6894.850313960001,67200,477.57,-175.0616455078125,1.3911635875701904,,
228,0.051245518028736115,0.001,297,17949.7890625,160,8478,-6671.205138900002,67928,477.17,-169.7442626953125,1.3800581693649292,,
233,0.09488371014595032,0.001,299,111464.515625,163,8737,-6509.869621130001,70000,486.66,-209.19998168945312,1.3144843578338623,,
,,,,,,,,70000,,,,-3222.2539525999996,444.8
239,0.25957828760147095,0.001,295,12616.966796875,164,8837,-6389.6453336,70800,485.87,-173.3529052734375,1.2831870317459106,,
244,0.06794421374797821,0.001,296,10341.54296875,168,9034,-6505.240959440001,72376,490.08,-188.0701904296875,1.2374950647354126,,
247,0.007033590227365494,0.001,296,138378.5625,172,9179,-6543.291759819999,73536,489.99,-195.32281494140625,1.21683931350708,,
254,0.018456079065799713,0.001,298,110867.546875,176,9483,-6261.785908080002,75968,488.61,-181.78857421875,1.1999123096466064,,
261,0.10202997922897339,0.001,299,15376.259765625,180,9771,-6156.648176300001,78272,507.17,-220.6412353515625,1.1969670057296753,,
266,0.038126640021800995,0.001,300,117971.84375,184,9980,-5856.639957310001,79944,499.57,-267.21905517578125,1.1582772731781006,,
266,0.06050771474838257,0.001,300,125364.015625,184,9987,-5856.639957310001,80000,499.57,-200.69046020507812,1.1569877862930298,,
,,,,,,,,80000,,,,-14918.111294599998,551.4
282,-0.11042825877666473,0.001,297,4510.3525390625,188,10494,-6000.3232593600005,84056,507.17,-311.4785461425781,1.2131812572479248,,
288,-0.011271648108959198,0.001,298,91551.0234375,192,10766,-5348.598629030001,86232,499.26,-355.0316162109375,1.2073711156845093,,
294,-0.037213169038295746,0.001,299,7753.64306640625,196,11030,-5067.99524705,88344,506.39,-408.5356140136719,1.1656345129013062,,
299,0.04218244552612305,0.001,300,11188.37109375,197,11237,-5119.98643538,90000,508.63,-420.814697265625,1.156639814376831,,
,,,,,,,,90000,,,,-4041.3344893999993,292.8
307,0.039910733699798584,0.001,299,20832.16015625,200,11493,-5065.03506873,92048,518.11,-435.1568298339844,1.152256727218628,,
312,-0.0018600444309413433,0.001,299,6641.78466796875,204,11710,-4833.51476702,93784,503.21,-428.67108154296875,1.1315888166427612,,
314,0.053848281502723694,0.001,300,16890.623046875,208,11794,-4625.15869104,94456,487.11,-411.49481201171875,1.123874306678772,,
319,-0.05266149342060089,0.001,300,17916.361328125,212,11980,-4599.02256578,95944,497.78,-426.34234619140625,1.1404719352722168,,
330,0.06465183198451996,0.001,302,6327.041015625,214,12487,-4517.582616169999,100000,502.74,-515.8271484375,1.1912692785263062,,
,,,,,,,,100000,,,,-1743.7176676000004,629.6
336,0.0348227396607399,0.001,297,117133.25,216,12518,-4466.7987857299995,100248,501.86,-455.18658447265625,1.1884593963623047,,
342,0.05024242028594017,0.001,298,16560.6953125,220,12786,-4371.75565841,102392,511.99,-430.0767822265625,1.1879786252975464,,
343,0.126576766371727,0.001,299,11159.9853515625,224,12831,-4118.2412565800005,102752,528.21,-435.27325439453125,1.1826322078704834,,
351,0.02576489932835102,0.001,300,278727.6875,228,13178,-3842.4902103500003,105528,528.55,-501.2587585449219,1.0940691232681274,,
355,0.014414285309612751,0.001,300,67705.71875,232,13334,-3676.3370785900006,106776,525.47,-439.65057373046875,1.0347979068756104,,
361,-0.011513608507812023,0.001,301,77320.0,236,13610,-3658.6653873100004,108984,528.26,-444.2953796386719,1.023389458656311,,
364,-0.020443741232156754,0.001,301,14149.244140625,239,13737,-3493.18200736,110000,528.1,-534.7822265625,1.0767303705215454,,
,,,,,,,,110000,,,,-4171.3073872,473.2
372,0.028739849105477333,0.001,299,15469.015625,240,13940,-3530.1076351000006,111624,529.81,-453.06402587890625,1.0930187702178955,,
379,0.014087393879890442,0.001,300,16214.9775390625,244,14213,-3423.78403888,113808,531.73,-550.0935668945312,1.0637096166610718,,
382,0.024677066132426262,0.001,300,9289.03125,248,14362,-3323.7757691500005,115000,526.4,-494.583740234375,1.0700987577438354,,
396,-0.0162261500954628,0.001,302,88221.890625,252,14953,-3205.2127121200006,119728,543.02,-483.8797302246094,1.0905474424362183,,
396,0.028753388673067093,0.001,302,13862.466796875,252,14987,-3205.2127121200006,120000,543.02,-438.65252685546875,1.0940220355987549,,
,,,,,,,,120000,,,,-8912.251229000001,479.0
407,-0.020938212051987648,0.001,300,14020.4375,256,15294,-3099.8558518099994,122456,522.59,-534.1648559570312,1.0596166849136353,,
408,0.02466486766934395,0.001,300,30489.84765625,260,15356,-2996.8820065400005,122952,541.79,-536.1986083984375,1.0563334226608276,,
426,-0.004937708377838135,0.001,302,218681.65625,264,16133,-2918.19747632,129168,564.08,-656.4066162109375,1.0515289306640625,,
428,-0.04260243475437164,0.001,303,9648.4697265625,265,16237,-2857.26137753,130000,568.82,-685.2493896484375,1.0715550184249878,,
,,,,,,,,130000,,,,-8702.2692758,597.4
435,0.02440047077834606,0.001,300,14304.228515625,268,16327,-2747.9333263200006,130720,571.92,-637.0567626953125,1.0898123979568481,,
436,0.0358702577650547,0.001,300,11803.37109375,272,16363,-2525.6737452200005,131008,583.01,-663.761474609375,1.0870252847671509,,
444,0.011925287544727325,0.001,301,138820.875,276,16716,-2339.6427770600003,133832,590.51,-616.4461669921875,1.0228968858718872,,
454,0.00626358762383461,0.001,301,121733.796875,280,17152,-2319.10446198,137320,570.14,-676.6448974609375,1.04445219039917,,
460,0.00711123738437891,0.001,302,19890.4609375,284,17392,-2014.7618790199997,139240,594.58,-629.8349609375,0.9842446446418762,,
462,0.0025977932382375,0.001,302,7596.62255859375,285,17487,-2053.1901571800004,140000,597.49,-689.7221069335938,0.9895179867744446,,
,,,,,,,,140000,,,,-11002.321812000002,880.4
477,0.010868426412343979,0.001,299,11142.408203125,288,17840,-1777.18281477,142824,598.57,-708.5413208007812,1.0487741231918335,,
488,0.0004033289151266217,0.001,300,4639.6953125,292,18321,-1733.2017798599998,146672,594.85,-732.987060546875,1.0300301313400269,,
491,0.00021633249707520008,0.001,300,11945.716796875,296,18428,-1703.21420014,147528,594.28,-726.390869140625,1.0133204460144043,,
498,-0.007852157577872276,0.001,300,120596.21875,298,18737,-1590.83653422,150000,583.45,-722.313232421875,0.9587149620056152,,
,,,,,,,,150000,,,,-1471.740093,641.6
503,-0.007571496535092592,0.001,297,11573.6875,300,18746,-1527.1302791099997,150072,585.95,-715.1031494140625,0.9574201703071594,,
509,-0.023912351578474045,0.001,298,17116.263671875,304,19000,-1359.0371467700002,152104,587.69,-772.0751342773438,0.949235200881958,,
517,0.009677018970251083,0.001,299,11892.3359375,308,19365,-1384.9696800999998,155024,595.65,-794.000732421875,0.9767744541168213,,
521,0.0044982414692640305,0.001,299,4694.6474609375,312,19533,-1293.1920843100002,156368,600.88,-806.7513427734375,1.0236867666244507,,
530,-0.006933608558028936,0.001,300,19084.33984375,316,19904,-1268.3525627,159336,603.37,-879.3027954101562,1.0506190061569214,,
532,-0.01265863236039877,0.001,300,4590.07666015625,316,19987,-1268.3525627,160000,603.37,-832.5615234375,1.066832184791565,,
,,,,,,,,160000,,,,-47751.4934662,1000.0
549,0.0008210334926843643,0.001,297,105650.875,320,20392,-1102.16895702,163240,614.81,-808.8683471679688,1.0561654567718506,,
550,0.026269055902957916,0.001,297,14398.71875,324,20433,-1107.23313735,163568,601.83,-880.26904296875,1.0510846376419067,,
556,-0.015967216342687607,0.001,297,5789.52734375,328,20700,-1090.9622171199999,165704,600.09,-867.1505126953125,1.0295647382736206,,
566,-0.01672406867146492,0.001,298,6737.326171875,332,21134,-859.83761598,169176,619.97,-865.9638671875,1.0610897541046143,,
568,-0.00536858756095171,0.001,298,6377.6923828125,334,21237,-847.4276934499998,170000,628.51,-865.246826171875,1.0606894493103027,,
,,,,,,,,170000,,,,2192.1340959999998,635.2
574,-0.034794844686985016,0.001,296,15239.69140625,336,21287,-897.6165505199999,170400,616.59,-833.0182495117188,1.0662072896957397,,
588,-0.0018856350798159838,0.001,297,14092.9990234375,340,21909,-760.9872878899998,175376,632.33,-906.3956298828125,0.9886719584465027,,
593,0.0011092156637459993,0.001,298,135527.578125,344,22134,-839.8115950499997,177176,634.81,-887.1900024414062,0.9918692708015442,,
600,-0.01207338459789753,0.001,298,11248.087890625,348,22417,-945.3479020299998,179440,647.18,-871.330810546875,1.0572316646575928,,
602,-0.027384042739868164,0.001,298,16776.546875,348,22487,-945.3479020299998,180000,647.18,-910.9794921875,1.0736795663833618,,
,,,,,,,,180000,,,,-5121.0914732,705.0
622,0.003589028725400567,0.001,297,112879.0625,352,23134,-990.5993066299998,185176,649.95,-852.1348876953125,0.9874553084373474,,
629,0.00013848545495420694,0.001,297,12144.296875,356,23417,-1011.0096013399999,187440,674.68,-872.4987182617188,1.003954529762268,,
636,-0.0025575426407158375,0.001,298,6297.2099609375,357,23737,-1095.7920895099999,190000,670.17,-1007.624267578125,1.017823576927185,,
,,,,,,,,190000,,,,-4738.462874,565.4
643,-0.001456861267797649,0.001,296,95686.390625,360,23870,-1051.0278248900001,191064,674.52,-890.332275390625,1.0168277025222778,,
651,0.012056726962327957,0.001,297,12816.205078125,364,24195,-1214.98804794,193664,664.82,-1011.8060302734375,1.0190045833587646,,
666,-0.05411342531442642,0.001,298,10071.107421875,368,24837,-942.9001764900001,198800,682.08,-1014.7080078125,0.9111905694007874,,
668,-0.009849850088357925,0.001,298,141464.046875,372,24915,-902.98779037,199424,675.74,-985.07763671875,0.8789721727371216,,
669,-0.06694286316633224,0.001,298,131230.125,375,24987,-1078.7919728399997,200000,669.28,-1037.43359375,0.8684785962104797,,
,,,,,,,,200000,,,,-3768.2121663999997,225.6
674,0.09996422380208969,0.001,298,12299.49609375,376,25135,-1083.84655218,201184,665.32,-966.7674560546875,0.8560687899589539,,
685,-0.014923187904059887,0.001,298,132251.375,380,25590,-585.2597688,204824,684.13,-1029.594482421875,1.0290294885635376,,
693,-0.013105588033795357,0.001,299,5592.17529296875,384,25932,-676.37269566,207560,680.48,-1048.03857421875,1.131117582321167,,
700,0.014651783742010593,0.001,299,92609.578125,386,26237,-577.0439722400002,210000,680.48,-1038.0048828125,1.0115234851837158,,
,,,,,,,,210000,,,,-1584.6174596,619.6
706,-0.015783539041876793,0.001,298,179721.125,388,26323,-729.58907833,210688,680.02,-1072.1015625,0.9653785824775696,,
710,-0.04223953187465668,0.001,298,16815.1171875,392,26459,-624.09443265,211776,675.84,-1045.48046875,0.9064247012138367,,
719,-0.0018570441752672195,0.001,298,15857.98828125,396,26866,-690.6465970599999,215032,666.78,-1101.51708984375,0.8050359487533569,,
723,0.06347758322954178,0.001,299,5885.61181640625,400,27018,-681.61464863,216248,664.55,-1109.43115234375,0.7925267815589905,,
734,0.054266735911369324,0.001,299,13048.4921875,404,27459,-496.37479514000006,219776,679.04,-1126.7406005859375,0.9154969453811646,,
734,0.05023430660367012,0.001,299,11045.6220703125,404,27487,-496.37479514000006,220000,679.04,-1097.6728515625,0.9279370307922363,,
,,,,,,,,220000,,,,-15067.455911600002,649.0
749,0.016734059900045395,0.001,298,118483.71875,408,27906,-555.61518525,223352,684.05,-1102.947998046875,0.9544967412948608,,
751,0.012158788740634918,0.001,298,6304.146484375,412,28012,-604.1747033299999,224200,675.41,-1102.4495849609375,0.9648138880729675,,
757,0.004477275535464287,0.001,298,4103.11572265625,416,28292,-478.6377567099999,226440,666.75,-1039.2164306640625,1.0151164531707764,,
768,-0.03140338882803917,0.001,299,4528.26953125,420,28731,-413.1629154899999,229952,665.9,-1064.751953125,0.9048854112625122,,
768,-0.055921368300914764,0.001,299,11109.9228515625,420,28737,-413.1629154899999,230000,665.9,-1093.267822265625,0.90366530418396,,
,,,,,,,,230000,,,,-2324.6796728,803.8
781,0.03511703759431839,0.001,297,6221.56591796875,424,29074,-463.90346459999984,232696,672.67,-1086.98779296875,0.8652629256248474,,
785,-0.018885266035795212,0.001,297,116508.09375,428,29239,-401.80713152,234016,679.0,-1104.53955078125,0.8850563168525696,,
796,0.004017086699604988,0.001,298,17926.625,432,29731,-157.92177232999995,237952,683.26,-1055.5380859375,0.8636156916618347,,
802,-0.008686324581503868,0.001,298,13492.501953125,436,29965,-25.930690499999972,239824,680.33,-1128.618408203125,0.8871621489524841,,
802,0.04491003602743149,0.001,298,11266.7265625,437,29987,-105.51489317999994,240000,678.44,-1098.4365234375,0.8863905072212219,,
,,,,,,,,240000,,,,-14714.1477596,1000.0
818,0.0004885632079094648,0.001,296,93000.71875,440,30318,-25.909914390000022,242648,681.77,-1156.765869140625,0.9979056119918823,,
827,-0.03336981311440468,0.001,297,80034.921875,444,30721,65.14008701000006,245872,682.33,-1075.1640625,0.90291428565979,,
831,-0.07989081740379333,0.001,297,8311.263671875,448,30925,361.43487769,247504,678.86,-1117.317626953125,0.8453885912895203,,
835,-0.012512486428022385,0.001,297,4101.865234375,452,31061,364.9599967700001,248592,654.6,-1027.500732421875,0.827259361743927,,
838,0.027825849130749702,0.001,297,17480.421875,452,31237,364.9599967700001,250000,654.6,-1097.644287109375,0.8584228157997131,,
,,,,,,,,250000,,,,784.9949559999999,512.4
847,0.03506308048963547,0.001,296,150484.75,456,31452,265.9180693999999,251720,639.57,-1085.87353515625,0.8637396097183228,,
859,0.007004342041909695,0.001,297,12038.326171875,460,31976,464.79611546,255912,639.47,-1105.37646484375,0.8493239879608154,,
863,0.10500964522361755,0.001,297,9662.369140625,464,32130,742.04702705,257144,638.02,-1169.3514404296875,0.8909196257591248,,
868,-0.0009772864868864417,0.001,298,4593.8017578125,468,32354,575.0620995099999,258936,628.34,-1140.16455078125,0.9627662301063538,,
871,0.0017554941587150097,0.001,298,3107.0,468,32487,575.0620995099999,260000,628.34,-1128.605712890625,0.9710676074028015,,
,,,,,,,,260000,,,,841.2569449999999,801.4
890,-0.007870815694332123,0.001,296,4126.5556640625,472,33040,683.5523830499999,264424,632.73,-1144.58642578125,0.8607669472694397,,
897,-0.10260093212127686,0.001,297,12683.7421875,476,33331,948.27322481,266752,658.15,-1070.739013671875,0.8276591897010803,,
906,0.05980224907398224,0.001,297,126619.96875,478,33737,832.48408437,270000,657.67,-1109.277099609375,0.8424819111824036,,
,,,,,,,,270000,,,,-9819.193323399999,1000.0
915,0.012746825814247131,0.001,295,9415.8798828125,480,33799,620.2828913000001,270496,662.08,-1064.72607421875,0.8601614832878113,,
917,-0.08741685003042221,0.001,295,149567.96875,484,33914,431.01001335000007,271416,648.25,-1144.804931640625,0.8567107915878296,,
930,0.026866676285862923,0.001,296,149199.296875,488,34461,354.56042381000015,275792,636.72,-1102.572998046875,0.8983023762702942,,
937,-0.020642146468162537,0.001,296,3915.02392578125,492,34787,218.44549624000007,278400,647.19,-1123.4603271484375,0.900547981262207,,
940,0.018473351374268532,0.001,297,11135.763671875,496,34941,38.18988516999998,279632,661.46,-1204.27880859375,0.8987405896186829,,
942,-0.06324473023414612,0.001,297,3760.2607421875,496,34987,38.18988516999998,280000,661.46,-1180.0091552734375,0.8990518450737,,
,,,,,,,,280000,,,,-3784.0617489999995,1000.0
959,-0.006026431918144226,0.001,295,11074.328125,500,35404,-272.35427068999996,283336,658.53,-1154.8994140625,0.8046438097953796,,
968,0.045892383903265,0.001,296,123752.671875,504,35842,-566.44684131,286840,663.41,-1216.8226318359375,0.9291321039199829,,
973,-0.03497958555817604,0.001,296,151351.75,508,36057,-511.4339793800001,288560,657.02,-1210.40576171875,0.9269391298294067,,
977,0.019854098558425903,0.001,296,135761.65625,511,36237,-454.99182536999996,290000,669.3,-1133.02294921875,0.8947229385375977,,
,,,,,,,,290000,,,,-7959.446043599999,1000.0
994,0.0157728660851717,0.001,294,9851.0283203125,512,36668,-363.33036486,293448,669.3,-1148.6934814453125,0.8417624831199646,,
1003,0.03180450573563576,0.001,295,7845.5615234375,516,37050,-239.32740572000003,296504,691.76,-1248.5283203125,0.8181592226028442,,
1005,-0.011814359575510025,0.001,295,8209.9716796875,520,37136,-176.24153471000002,297192,692.83,-1313.035400390625,0.8255171179771423,,
1014,0.031144186854362488,0.001,295,9231.267578125,521,37487,-71.78859500000006,300000,688.35,-1208.71923828125,0.9086974859237671,,
,,,,,,,,300000,,,,-5518.6557062,1000.0
1028,-0.061521176248788834,0.001,294,5117.078125,524,37783,219.46191529000004,302368,695.17,-1247.73681640625,0.912429928779602,,
1034,-0.014485081657767296,0.001,294,187494.8125,528,38057,236.8105939300001,304560,708.96,-1243.60693359375,0.830511212348938,,
1050,-0.010670864954590797,0.001,294,12160.107421875,532,38712,-17.10326696999975,309800,707.09,-1371.86572265625,0.8634852766990662,,
1051,0.003678192151710391,0.001,294,10330.435546875,533,38737,28.016165670000156,310000,706.8,-1328.45068359375,0.8608102798461914,,
,,,,,,,,310000,,,,-663.0297336,1000.0
1059,0.006339713931083679,0.001,292,8480.150390625,536,38804,101.76993954000017,310536,723.96,-1290.91650390625,0.8632954955101013,,
1072,0.028263159096240997,0.001,293,24086.748046875,540,39356,-72.47239350999993,314952,715.77,-1342.8564453125,0.8815429210662842,,
1081,-0.07460750639438629,0.001,293,102053.109375,544,39726,-202.32365032999988,317912,727.96,-1324.447509765625,0.8680804967880249,,
1087,-0.12201156467199326,0.001,294,104538.296875,545,39987,-180.79316793999996,320000,732.79,-1226.27880859375,0.7568886280059814,,
,,,,,,,,320000,,,,-55700.71450939999,810.8
1098,-0.03541897237300873,0.001,292,3907.65478515625,548,40180,-264.29038912999994,321544,729.76,-1275.8746337890625,0.7379477620124817,,
1107,0.05177333950996399,0.001,293,145866.75,552,40575,-202.1012088899999,324704,750.08,-1308.745361328125,0.7706442475318909,,
1121,-0.034606993198394775,0.001,293,5118.14306640625,556,41180,120.2314763900001,329544,765.11,-1345.17236328125,0.8145338892936707,,
1122,0.032448660582304,0.001,293,5619.0712890625,557,41237,259.07550933000016,330000,773.39,-1401.674072265625,0.8220706582069397,,
,,,,,,,,330000,,,,-7009.8714826,948.6
1132,-0.07860731333494186,0.001,292,10263.6875,560,41361,162.44536974000013,330992,767.67,-1417.6888427734375,0.8249172568321228,,
1148,-0.00187026709318161,0.001,292,14440.45703125,564,42044,213.52136469000007,336456,774.59,-1331.779052734375,0.847838282585144,,
1155,-0.022617977112531662,0.001,293,9031.9140625,568,42361,96.68673178,338992,788.49,-1334.984375,0.8331572413444519,,
1158,-0.046904876828193665,0.001,293,10779.5625,569,42487,96.68673178,340000,788.49,-1345.420166015625,0.8133662939071655,,
,,,,,,,,340000,,,,-21386.3832396,1000.0
1167,-0.15043053030967712,0.001,291,10990.294921875,572,42558,-37.719967409999974,340568,785.77,-1356.2587890625,0.79549241065979,,
1181,0.04701046645641327,0.001,292,8194.8671875,576,43180,-148.60022675999997,345544,781.08,-1329.084228515625,0.7885655760765076,,
1190,0.03421590477228165,0.001,292,7084.7685546875,580,43558,-15.68423084999983,348568,786.1,-1369.936279296875,0.8467835187911987,,
1194,-0.08245893567800522,0.001,293,202877.171875,580,43737,-15.68423084999983,350000,786.1,-1364.1290283203125,0.8547682166099548,,
,,,,,,,,350000,,,,-9015.0667292,1000.0
1212,-0.06924593448638916,0.001,291,7544.537109375,584,44180,195.13740161000015,353544,804.92,-1368.728759765625,0.7923031449317932,,
1220,0.041018564254045486,0.001,292,13148.0908203125,588,44554,224.50954629,356536,812.91,-1477.8297119140625,0.8817926645278931,,
1230,-0.017062442377209663,0.001,292,7213.4775390625,592,44968,534.3754981099999,359848,823.87,-1359.93017578125,0.8661286234855652,,
1230,-0.04664850980043411,0.001,292,3560.58349609375,592,44987,534.3754981099999,360000,823.87,-1418.490966796875,0.8646946549415588,,
,,,,,,,,360000,,,,-54998.4079806,1000.0
1244,-0.0283848587423563,0.001,290,7380.724609375,596,45252,844.36638863,362120,808.35,-1467.905029296875,0.8160687685012817,,
1256,-0.0396113283932209,0.001,291,3705.988037109375,600,45748,993.7416912199999,366088,822.29,-1482.764404296875,0.8939213156700134,,
1262,0.011273320764303207,0.001,291,157163.734375,604,46041,1208.9606625599997,368432,810.6,-1486.8255615234375,0.855675458908081,,
1267,-0.08223661780357361,0.001,291,4992.34375,608,46227,1048.80003789,369920,823.28,-1370.174072265625,0.8118119239807129,,
1267,-0.11165207624435425,0.001,291,3855.95263671875,608,46237,1048.80003789,370000,823.28,-1398.1412353515625,0.8067697882652283,,
,,,,,,,,370000,,,,2502.9923116,1000.0
1290,-0.06851524114608765,0.001,290,3529.889892578125,612,46888,1341.38268825,375208,819.99,-1421.079833984375,0.8167442679405212,,
1297,0.001590772531926632,0.001,291,7397.083984375,616,47227,1309.3529504299995,377920,818.55,-1463.458740234375,0.7782102227210999,,
1303,0.00944344699382782,0.001,291,86967.5859375,619,47487,1245.9789226,380000,810.2,-1385.305419921875,0.8330954313278198,,
,,,,,,,,380000,,,,2627.4675202,899.8
1311,-0.056028738617897034,0.001,290,7121.12646484375,620,47558,1312.26631202,380568,816.71,-1333.333984375,0.8375812768936157,,
1321,-0.037803176790475845,0.001,290,4689.22265625,624,47971,1176.08031861,383872,823.63,-1350.1024169921875,0.8292238116264343,,
1335,0.02925386093556881,0.001,290,155084.3125,628,48558,1033.9572566500003,388568,827.55,-1447.6370849609375,0.8341442942619324,,
