train/n_updates,time/fps,train/explained_variance,rollout/ep_rew_mean,train/entropy_loss,train/std,train/policy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,time/iterations,train/value_loss
43999,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2153,880000,0.0007,44000,0.0
44099,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2158,882000,0.0007,44100,0.0
44199,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2163,884000,0.0007,44200,0.0
44299,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2167,886000,0.0007,44300,0.0
44399,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2172,888000,0.0007,44400,0.0
44499,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2177,890000,0.0007,44500,0.0
44599,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2182,892000,0.0007,44600,0.0
44699,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2187,894000,0.0007,44700,0.0
44799,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2192,896000,0.0007,44800,0.0
44899,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2197,898000,0.0007,44900,0.0
44999,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2201,900000,0.0007,45000,0.0
45099,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2206,902000,0.0007,45100,0.0
45199,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2211,904000,0.0007,45200,0.0
45299,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2216,906000,0.0007,45300,0.0
45399,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2221,908000,0.0007,45400,0.0
45499,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2226,910000,0.0007,45500,0.0
45599,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2231,912000,0.0007,45600,0.0
45699,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2236,914000,0.0007,45700,0.0
45799,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2241,916000,0.0007,45800,0.0
45899,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2246,918000,0.0007,45900,0.0
45999,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2251,920000,0.0007,46000,0.0
46099,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2256,922000,0.0007,46100,0.0
46199,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2261,924000,0.0007,46200,0.0
