time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,eval/mean_ep_length,eval/mean_reward
492,318,421.21701722000006,140,44672,85.64,2.9223825931549072,212133.375,5571,45.45193862915039,0.001,-2.7376673221588135,,
496,318,480.12132465999997,141,45168,82.34,2.9493448734283447,281792.375,5633,-5.779932022094727,0.001,-2.581200122833252,,
500,318,466.4203406499999,143,45744,82.73,2.985089063644409,379977.8125,5705,-50.24591064453125,0.001,-3.3037147521972656,,
504,318,427.35531684999995,144,45992,83.33,2.9999403953552246,209895.5,5736,-46.97235107421875,0.001,-1.7938072681427002,,
508,318,187.36209234999998,144,46224,84.56,3.0126614570617676,569411.8125,5765,-37.2977409362793,0.001,-2.1869568824768066,,
512,318,360.71018802999987,145,46496,85.72,3.025604009628296,250000.109375,5799,-33.09141159057617,0.001,-1.8406760692596436,,
516,318,984.5108578699999,147,46992,84.18,3.0496788024902344,421673.25,5861,3.247037887573242,0.001,-2.557295322418213,,
520,318,917.96659779,148,47360,83.83,3.0695414543151855,365465.8125,5907,-6.306171417236328,0.001,-2.476994276046753,,
524,318,823.9447021699998,149,47504,80.35,3.0777792930603027,343192.71875,5925,56.319541931152344,0.001,-2.1671903133392334,,
528,318,629.66201147,149,47696,78.38,3.089158535003662,338368.09375,5949,145.6273193359375,0.001,-2.383054733276367,,
532,318,617.3932410600002,150,47896,78.55,3.1016106605529785,387601.0625,5974,-69.07009887695312,0.001,-2.012284994125366,,
536,318,767.62962952,151,48344,76.65,3.1244711875915527,320267.625,6030,-107.91899108886719,0.001,-2.042668342590332,,
540,318,909.7159869500001,153,48824,75.47,3.1507720947265625,293295.9375,6090,-216.62449645996094,0.001,-2.582444667816162,,
544,319,989.2803996800001,155,49600,75.92,3.1989388465881348,297674.59375,6187,-183.1452178955078,0.001,-2.1153717041015625,,
548,319,855.70479165,156,49840,79.93,3.2121524810791016,646326.125,6217,-207.80752563476562,0.001,-2.2162628173828125,,
550,319,802.4085406200003,156,50000,81.68,3.2202837467193604,134268.5625,6237,-151.4556427001953,0.001,-2.486719846725464,,
,,,,50000,,,,,,,,72.0,2921.2023212
552,318,587.36261401,157,50176,81.53,3.2317566871643066,455969.5,6259,-21.420692443847656,0.001,-2.1453189849853516,,
556,318,286.8051832100001,158,50592,87.11,3.2554783821105957,178266.78125,6311,-171.6728515625,0.001,-2.1287455558776855,,
560,318,395.7704455699999,159,50704,87.81,3.2622578144073486,138431.859375,6325,-207.12179565429688,0.001,-1.809662103652954,,
564,318,-60.51745692000015,160,51176,92.34,3.285844564437866,139109.65625,6384,-53.155189514160156,0.001,-1.9235836267471313,,
568,318,956.02228851,161,51408,89.07,3.299182891845703,311581.625,6413,-28.69599151611328,0.001,-2.2147793769836426,,
572,318,1006.9437984400001,162,51640,90.59,3.3119447231292725,184266.40625,6442,-230.07693481445312,0.001,-2.223789691925049,,
576,318,1096.74546974,162,51888,85.01,3.3247811794281006,323852.5,6473,-168.92486572265625,0.001,-2.307579517364502,,
580,318,1054.63715304,163,52200,83.18,3.3416621685028076,521571.1875,6512,-190.75946044921875,0.001,-1.9328714609146118,,
584,318,1202.1553425999998,164,52384,83.62,3.3525331020355225,887706.375,6535,-154.59408569335938,0.001,-1.996023416519165,,
588,318,1092.4300374599998,164,52600,79.82,3.3638856410980225,237097.15625,6562,-135.1055145263672,0.001,-1.5569097995758057,,
592,318,799.49111904,165,52736,80.91,3.3696672916412354,267279.40625,6579,-169.19017028808594,0.001,-1.3235788345336914,,
596,318,1036.13738776,166,52952,79.8,3.379887342453003,176410.921875,6606,-156.379638671875,0.001,-2.1507728099823,,
600,319,1164.1452404,167,53392,78.61,3.399829864501953,185373.296875,6661,-162.08419799804688,0.001,-0.8474886417388916,,
604,319,1158.4283999699999,168,53712,77.99,3.4128224849700928,455689.125,6701,-309.025146484375,0.001,-1.4290735721588135,,
608,319,1241.7538079199999,168,53904,76.37,3.421187400817871,460105.15625,6725,-344.02056884765625,0.001,-1.5763471126556396,,
612,319,1287.0098124699998,169,54136,76.15,3.4317641258239746,313999.90625,6754,-101.802001953125,0.001,-1.7646751403808594,,
616,319,1296.3127797500001,170,54480,74.8,3.4478180408477783,398256.8125,6797,-149.6846160888672,0.001,-2.3230788707733154,,
620,319,1478.8901107199997,171,54728,76.19,3.462200880050659,113525.546875,6828,-353.74444580078125,0.001,-2.540630340576172,,
624,319,1677.1066896200002,171,54928,77.65,3.4759082794189453,277693.0625,6853,-205.78269958496094,0.001,-1.8473522663116455,,
628,319,2030.3734533900001,173,55304,78.45,3.4969260692596436,490715.0,6900,-128.6456298828125,0.001,-2.187939167022705,,
632,319,1892.70193584,173,55560,79.53,3.510392904281616,230241.828125,6932,-184.70806884765625,0.001,-1.9455938339233398,,
636,319,1865.6723107399998,174,55832,80.69,3.5223445892333984,210646.96875,6966,-64.91041564941406,0.001,-1.7025015354156494,,
640,319,1726.8034787,175,56064,79.97,3.5336499214172363,352464.90625,6995,-131.7648162841797,0.001,-1.4656974077224731,,
644,319,1985.5787562200003,178,57128,81.17,3.579882860183716,183080.390625,7128,-171.4081268310547,0.001,-1.4369878768920898,,
648,320,2621.8465673700002,181,58176,76.8,3.6242685317993164,669583.0,7259,-177.58062744140625,0.001,-2.5237395763397217,,
652,320,2815.5009972899993,182,58440,76.31,3.638812303543091,82535.0,7292,-358.154052734375,0.001,-1.3363174200057983,,
656,320,2662.71067452,182,58632,80.18,3.648136615753174,464422.3125,7316,-392.4848937988281,0.001,-1.5029289722442627,,
660,320,2395.4067956999997,184,59040,83.04,3.66667103767395,178790.90625,7367,-278.94708251953125,0.001,-1.3115483522415161,,
664,320,2949.1770508999994,185,59304,81.66,3.677211284637451,353045.28125,7400,-226.2091064453125,0.001,-0.915789783000946,,
667,320,2847.77517839,187,60000,81.14,3.6959071159362793,276384.40625,7487,-501.534423828125,0.001,-0.863659143447876,,
,,,,60000,,,,,,,,40.6,1689.1888213999998
668,319,2930.2237177399993,187,60088,81.89,3.698836088180542,212045.375,7498,-445.48870849609375,0.001,-1.1859219074249268,,
672,319,2893.07212763,188,60328,82.69,3.70712947845459,266149.4375,7528,-498.75128173828125,0.001,-1.2575793266296387,,
676,319,2993.27070311,189,60776,85.77,3.723315715789795,219127.625,7584,-807.0606689453125,0.001,-1.696854829788208,,
680,320,2801.0169168400002,191,61392,90.42,3.7562074661254883,280972.5625,7661,-553.7672119140625,0.001,-2.2274861335754395,,
684,320,2704.2027414500003,192,61608,91.29,3.7686045169830322,296568.9375,7688,-556.7012939453125,0.001,-1.2578381299972534,,
688,320,3037.5009253800004,193,62104,91.85,3.794058322906494,379261.75,7750,-523.409423828125,0.001,-2.0112829208374023,,
692,320,3392.6074933299997,195,62592,89.59,3.8187649250030518,249375.515625,7811,-611.8280639648438,0.001,-0.9329639673233032,,
696,320,3476.8339014200005,195,62800,92.65,3.8293073177337646,430907.21875,7837,-550.5731811523438,0.001,-1.6854225397109985,,
700,320,3233.73276192,197,63248,99.23,3.8485493659973145,127583.53125,7893,-731.515380859375,0.001,-1.1385531425476074,,
704,320,3179.3989635499997,198,63744,98.5,3.869145393371582,78929.984375,7955,-657.8922729492188,0.001,-1.6347243785858154,,
708,320,3193.4795011100005,199,64104,100.88,3.8849518299102783,330478.03125,8000,-624.5185546875,0.001,-1.196738362312317,,
